committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
OSZ,V,12,"  - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.    - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.  ",,,przedstawiciel Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,12,"  - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.    - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.  ",,,przedstawiciel oganizacji pozarządowych,,,1,,,,,,,,,,,,,,
OSZ,V,13,"  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.     - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.   ",,Teresa Warchałowska,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,13,"  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.     - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.   ",,Markiem Zająkała,podsekretarz stanu Ministerstwa Obrony Narodowej  ,Ministerstwo Obrony Narodowej,MON,,,,,,,1,,,,,,,,
OSZ,V,13,"  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.     - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.   ",,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,13,"  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.     - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.   ",,,przedstawiciel Najwyższej Izby Kontroli.,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,13,"  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.     - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 326), 
  - sprawy bieżące.   ",,Bohdan Szymański,Członek Zarządu Polskiego Klubu Ekologicznego,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
OSZ,V,14,  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo atomowe (druk nr 325).  ,,Henryk Górski,senator,,,,,,,,,,1,,,,,,,
OSZ,V,14,  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo atomowe (druk nr 325).  ,,Jerzy Niewodniczański,prezes Państwowej Agencji Atomistyki,Państwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
OSZ,V,14,  - rozpatrzenie uchwały Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo atomowe (druk nr 325).  ,,, przedstawiciel Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,Paweł Soloch,podsekretarz stanu Ministerstwa Spraw Wewnętrznych i Administracji ,Ministerstwo Spraw Wewnętrznych i Administracji,MSWIA,,,,,,,1,,,,,,,,
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,Mariusz-Orion Jędrysek,podsekretarz stanu Ministerstwa Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,Kazimierz Krzowski,komendant główny Państwowej Straży Pożarnej ,Państwowa Straż Pożarna,PSP,,,,,,,,,1,,,,,,1
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,,przedstawiciel Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,15,  - informacji Ministra Spraw Wewnętrznych i Administracji oraz Ministra Środowiska na temat działań podjętych w celu zapobiegania powodziom wiosną 2006 r. ,,,przedstawiciele wojewódzkich władz administracji państwowej i samorządowej,,,,,,,,,1,,,1,,,,,1
OSZ,V,16,"  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy o odpadach oraz o zmianie niektórych innych ustaw (druk nr 340); 
  - sprawy różne.  ",,Teresa Warchałowska,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,16,"  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy o odpadach oraz o zmianie niektórych innych ustaw (druk nr 340); 
  - sprawy różne.  ",,,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,16,"  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy o odpadach oraz o zmianie niektórych innych ustaw (druk nr 340); 
  - sprawy różne.  ",,,przedstawiciel Najwyższej Izby Kontroli ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,16,"  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy o odpadach oraz o zmianie niektórych innych ustaw (druk nr 340); 
  - sprawy różne.  ",,,przedstawiciel Konfederacji Pracodawców Polskich,Konfederacja Pracodawców Polskich,KPP,,,1,,,,,,,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",,Wojciech Stawiany,główny inspektor ochrony środowiska,Główny Inspektor Ochrony Środowiska,GIOŚ,,,,,,,,,1,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",, ,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",,,przedstawiciel Najwyższej Izby Kontroli ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",,,przedstawiciel Polskiego Klubu Ekologicznego,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",,,przedstawiciel Konfederacji Pracodawców Polskich,Konfederacja Pracodawców Polskich,KPP,,,1,,,,,,,,,,,,
OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony Środowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadzących działalność w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; 
  - sprawy bieżące.  ",,,przedstawiciel Stowarzyszenia EKO-PAK.,Stowarzyszenie EKO-PAK,Stowarzyszenie EKO-PAK,1,,1,,,,,,,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,Agnieszka Bolesta,podsekretarz stanu Ministerstwa Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,,przedstawiciel Ministerstwa Finansów  ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,Kazimierz Kujda,zastępca prezesa Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,,przedstawiciel Ministerstwa Gospodarki ,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,,przedstawiciel Najwyższej Izby Kontroli ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,,przedstawiciel Polskiego Klubu Ekologicznego ,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
OSZ,V,18,  - wypełnianie zobowiązań Polski w dziedzinie ochrony środowiska wynikających z akcesji Polski do UE.  ,,,przedstawiciel Ligi Ochrony Przyrody,Liga Ochrony Przyrody,LOP,1,,,,,,,,,,,,,,
OSZ,V,19,"  - przyjęcie opinii dla Komisji Administracji i Spraw Wewnętrznych oraz Komisji Ustawodawczej w sprawie rządowego projektu ustawy o zmianie i uchyleniu niektórych upoważnień do wydawania aktów wykonawczych (druk nr 299) w zakresie działania Komisji (tj. art. 14 dot. Prawa łowieckiego, art. 42 dot. ustawy o doświadczeniach na zwierzętach i art. 43 dot. ustawy o rodzinnych ogrodach działkowych).  ",,,przedstawiciel Ministerstwa Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,19,"  - przyjęcie opinii dla Komisji Administracji i Spraw Wewnętrznych oraz Komisji Ustawodawczej w sprawie rządowego projektu ustawy o zmianie i uchyleniu niektórych upoważnień do wydawania aktów wykonawczych (druk nr 299) w zakresie działania Komisji (tj. art. 14 dot. Prawa łowieckiego, art. 42 dot. ustawy o doświadczeniach na zwierzętach i art. 43 dot. ustawy o rodzinnych ogrodach działkowych).  ",,,przedstawiciel Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,19,"  - przyjęcie opinii dla Komisji Administracji i Spraw Wewnętrznych oraz Komisji Ustawodawczej w sprawie rządowego projektu ustawy o zmianie i uchyleniu niektórych upoważnień do wydawania aktów wykonawczych (druk nr 299) w zakresie działania Komisji (tj. art. 14 dot. Prawa łowieckiego, art. 42 dot. ustawy o doświadczeniach na zwierzętach i art. 43 dot. ustawy o rodzinnych ogrodach działkowych).  ",,,przedstawiciel Polskiego Związku Łowieckiego,Polski Związek Łowiecki,Polski Związek Łowiecki,,1,,,,,,,,,,,,,
