num,term_office,committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
10,V,OSZ,V,4,"  b) gospodarstwa pomocnicze z za?. nr 4, ",,Witoldem ?ada ,wiceprezes Pa?stwowej Agencji Atomistyki ,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
11,V,OSZ,V,4,  c) zatrudnienie i wynagrodzenia w pa?stwowych jednostkach bud?etowych z za?. nr 11; ,,,przedstawiciel Najwy?szej Izby Kontroli.,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
12,V,OSZ,V,4,  2) cz??ci bud?etowej 41 - ?rodowisko ,,,,,,,,,,,,,,1,,,,,,
13,V,OSZ,V,4,"  a) dochody i wydatki z za?. nr 1 i 2, ",,,,,,,,,,,,,,,,,,,,
14,V,OSZ,V,4,"  b) zak?ady bud?etowe, gospodarstwa pomocnicze z za?. nr 4, ",,,,,,,,,,,,,,,,,,,,
15,V,OSZ,V,4,"  c) dotacje podmiotowe z za?. nr 9, ",,,,,,,,,,,,,,,,,,,,
16,V,OSZ,V,4,  d) zatrudnienie i wynagrodzenia w pa?stwowych jednostkach bud?etowych z za?. nr 11; ,,,,,,,,,,,,,,,,,,,,
17,V,OSZ,V,5,  - poprawki zg?oszone w drugim czytaniu rz?dowego projektu ustawy o zmianie ustawy - Prawo wodne (druki nr 66 i 112) oraz ,,Andrzej Mizgajski,sekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
18,V,OSZ,V,5,  - przyj??a plan pracy Komisji na I pó?rocze 2006 r.  ,,,,,,,,,,,,,,,,,,,,
19,V,OSZ,V,6,  - pierwsze czytanie rz?dowego projektu ustawy o zmianie ustawy - Prawo atomowe (druk nr 130).  ,,Mariuszem J?drysek,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
20,V,OSZ,V,6,,,Jerzy Niewodnicza?ski,prezes Pa?stwowej Agencji Atomistyki ,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
21,V,OSZ,V,7,  - pierwsze czytanie rz?dowego projektu ustawy o zmianie ustawy - Prawo ochrony ?rodowiska oraz niektórych innych ustaw (druk nr 129).  ,,Teresa Warcha?owska,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,7,,,Lech P?otkowski,zast?pca prezesa Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
,,OSZ,V,7,,,Wojciech Stawiany,g?ówny inspektor ochrony ?rodowiska,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
22,V,OSZ,V,8,"  - pierwsze czytanie rz?dowego projektu ustawy o ratyfikacji Porozumienia mi?dzy Królestwem Belgii, Królestwem Danii, Republik? Federaln? Niemiec, Irlandi?, Republik? W?osk?, Wielkim Ksi?stwem Luksemburga, Królestwem Niderlandów, Europejsk? Wspólnot? Energii Atomowej i Mi?dzynarodow? Agencj? Energii Atomowej dotycz?cego wprowadzenia w ?ycie artyku?u III ust?p 1 i 4 Uk?adu o nierozprzestrzenianiu broni j?drowej, podpisanego dnia 5 kwietnia 1973 r. w Brukseli (druk nr 107), ",,Janusz Sta?czyk,podsekretarz stanu w Ministerstwie Spraw Zagranicznych,Ministerstwo Spraw Zagranicznych,MSZ,,,,,,,1,,,,,,,,
23,V,OSZ,V,8,"  - pierwsze czytanie rz?dowego projektu ustawy o ratyfikacji Protoko?u o przywilejach i immunitetach Europejskiej Organizacji Bada? J?drowych, podpisanego dnia 17 grudnia 2004 r. w Genewie (druk nr 106), ",,Mariusz J?drysek,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
24,V,OSZ,V,8,,,Jerzy Niewodnicza?ski,prezes Pa?stwowej Agencji Atomistyki ,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
25,V,OSZ,V,9,  - sprawozdanie podkomisji o rz?dowym projekcie ustawy o zmianie ustawy - Prawo atomowe (druk nr 130). ,,Jerzy Niewodnicza?ski,prezes Pa?stwowej Agencji Atomistyki ,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
26,V,OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rz?dowym projekcie ustawy o zmianie ustawy - Prawo ochrony ?rodowiska oraz niektórych innych ustaw (druk nr 129). ,,Teresa Warcha?owska,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,10,,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,10,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,10,,,Lech P?otkowski,zast?pca prezesa Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
27,V,OSZ,V,10,,,Wojciech Stawiany,g?ówny inspektor ochrony ?rodowiska ,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
29,V,OSZ,V,11,"  - rozpatrzenie poprawek zg?oszonych w drugim czytaniu rz?dowego projektu ustawy o zmianie ustawy - Prawo ochrony ?rodowiska oraz niektórych innych ustaw (druki nr 129 i 241), ",,Teresa Warcha?owska,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
30,V,OSZ,V,11,  - sprawy ró?ne.  ,,, przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,11,,,,przedstawiciel Urz?du Komitetu Integracji Europejskiej.,Urz?d Komitetu Integracji Europejskiej,UKIE,,,,,,,,,1,,,,,,
31,V,OSZ,V,12,"  - Strategia Gospodarki Wodnej, przyj?tej przez Rad? Ministrów w dniu 13 wrze?nia 2005 r., ",,,przedstawiciel Ministerstwa ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
32,V,OSZ,V,12,  - sprawy bie??ce. ,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,12,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,12,,,,przedstawiciel oganizacji pozarz?dowych,,,1,,,,,,,,,,,,,,
33,V,OSZ,V,13,"  - rozpatrzenie uchwa?y Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo ochrony ?rodowiska oraz niektórych innych ustaw (druk nr 326), ",,Teresa Warcha?owska,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
34,V,OSZ,V,13,  - sprawy bie??ce.  ,,Markiem Zaj?ka?a,podsekretarz stanu Ministerstwa Obrony Narodowej  ,Ministerstwo Obrony Narodowej,MON,,,,,,,1,,,,,,,,
,,OSZ,V,13,,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,13,,,,przedstawiciel Najwy?szej Izby Kontroli.,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
35,V,OSZ,V,13,,,Bohdan Szyma?ski,Cz?onek Zarz?du Polskiego Klubu Ekologicznego,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
36,V,OSZ,V,14,  - rozpatrzenie uchwa?y Senatu RP o stanowisku w sprawie ustawy o zmianie ustawy - Prawo atomowe (druk nr 325).  ,,Henryk Górski,senator,,,,,,,,,,1,,,,,,,
,,OSZ,V,14,,,Jerzy Niewodnicza?ski,prezes Pa?stwowej Agencji Atomistyki,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
37,V,OSZ,V,14,,,, przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
38,V,OSZ,V,15,  - informacji Ministra Spraw Wewn?trznych i Administracji oraz Ministra ?rodowiska na temat dzia?a? podj?tych w celu zapobiegania powodziom wiosn? 2006 r. ,,Pawe? Soloch,podsekretarz stanu Ministerstwa Spraw Wewn?trznych i Administracji ,Ministerstwo Spraw Wewn?trznych i Administracji,MSWIA,,,,,,,1,,,,,,,,
,,OSZ,V,15,,,Mariusz-Orion J?drysek,podsekretarz stanu Ministerstwa ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,15,,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
39,V,OSZ,V,15,,,Kazimierz Krzowski,komendant g?ówny Pa?stwowej Stra?y Po?arnej ,Pa?stwowa Stra? Po?arna,PSP,,,,,,,,,1,,,,,,1
40,V,OSZ,V,15,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,15,,,,przedstawiciele wojewódzkich w?adz administracji pa?stwowej i samorz?dowej,,,,,,,,,1,,,1,,,,,1
41,V,OSZ,V,16,  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy o odpadach oraz o zmianie niektórych innych ustaw (druk nr 340); ,,Teresa Warcha?owska,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
42,V,OSZ,V,16,  - sprawy ró?ne. ,,,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,16,,,,przedstawiciel Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,16,,,,przedstawiciel Konfederacji Pracodawców Polskich,Konfederacja Pracodawców Polskich,KPP,,,1,,,,,,,,,,,,
43,V,OSZ,V,17,"  - rozpatrzenie raportu Inspekcji Ochrony ?rodowiska z ogólnokrajowego cyklu kontrolnego podmiotów prowadz?cych dzia?alno?? w zakresie zbierania, transportu, odzysku i unieszkodliwiania odpadów komunalnych; ",,Wojciech Stawiany,g?ówny inspektor ochrony ?rodowiska,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
44,V,OSZ,V,17,  - sprawy bie??ce. ,, ,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,17,,,,przedstawiciel Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,17,,,,przedstawiciel Polskiego Klubu Ekologicznego,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
,,OSZ,V,17,,,,przedstawiciel Konfederacji Pracodawców Polskich,Konfederacja Pracodawców Polskich,KPP,,,1,,,,,,,,,,,,
,,OSZ,V,17,,,,przedstawiciel Stowarzyszenia EKO-PAK.,Stowarzyszenie EKO-PAK,Stowarzyszenie EKO-PAK,1,,1,,,,,,,,,,,,
45,V,OSZ,V,18,  - wype?nianie zobowi?za? Polski w dziedzinie ochrony ?rodowiska wynikaj?cych z akcesji Polski do UE.  ,,Agnieszka Bolesta,podsekretarz stanu Ministerstwa ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
46,V,OSZ,V,18,,,,przedstawiciel Ministerstwa Finansów  ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,18,,,Kazimierz Kujda,zast?pca prezesa Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
,,OSZ,V,18,,,,przedstawiciel Ministerstwa Gospodarki ,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
,,OSZ,V,18,,,,przedstawiciel Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,18,,,,przedstawiciel Polskiego Klubu Ekologicznego ,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
,,OSZ,V,18,,,,przedstawiciel Ligi Ochrony Przyrody,Liga Ochrony Przyrody,LOP,1,,,,,,,,,,,,,,
47,V,OSZ,V,19,"  - przyj?cie opinii dla Komisji Administracji i Spraw Wewn?trznych oraz Komisji Ustawodawczej w sprawie rz?dowego projektu ustawy o zmianie i uchyleniu niektórych upowa?nie? do wydawania aktów wykonawczych (druk nr 299) w zakresie dzia?ania Komisji (tj. art. 14 dot. Prawa ?owieckiego, art. 42 dot. ustawy o do?wiadczeniach na zwierz?tach i art. 43 dot. ustawy o rodzinnych ogrodach dzia?kowych).  ",,,przedstawiciel Ministerstwa ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,19,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,19,,,,przedstawiciel Polskiego Zwi?zku ?owieckiego,Polski Zwi?zek ?owiecki,Polski Zwi?zek ?owiecki,,1,,,,,,,,,,,,,
,,OSZ,V,19,,,,przedstawiciel Polskiego Zwi?zku Dzia?kowców,Polski Zwi?zek Dzia?kowców,PZD,,1,,,,,,,,,,,,,
48,V,OSZ,V,20,"  - poziom absorpcji ?rodków UE w 2005 r. przeznaczonych na ochron? ?rodowiska, za wykorzystanie których odpowiedzialny jest minister ?rodowiska, ",,Agnieszka Bolesta,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,20,  - sprawy ró?ne. ,,,przedstawiciel Ministerstwa Gospodarki ,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
49,V,OSZ,V,20,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
50,V,OSZ,V,21,  - raport   Stan ?rodowiska w Polsce na tle celów i priorytetów Unii Europejskiej. Raport wska?nikowy 2004.  ,,Wojciech Stawiany,g?ówny inspektor ochrony ?rodowiska,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
,,OSZ,V,21,,,,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,21,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,21,,,,przedstawiciel Ligi Ochrony Przyrody,Liga Ochrony Przyrody,LOP,1,,,,,,,,,,,,,,
,,OSZ,V,21,,,,przedstawiciel Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
51,V,OSZ,V,22,"  - Informacj? o uzyskanie przez zak?ady pozwole? zintegrowanych, wed?ug stanu na dzie? 31.12.2005 r.,  ",,Wojciech Stawiany,g?ówny inspektor ochrony ?rodowiska,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
52,V,OSZ,V,22,  - sprawy bie??ce.  ,, ,przedstawiciel Ministerstwa ?rodowiska ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,22,,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,22,,,,przedstawiciel Ministerstwa Gospodarki ,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
,,OSZ,V,22,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,22,,,,przedstawiciel Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
53,V,OSZ,V,23,  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy   Prawo geologiczne i górnicze   (druk nr 508).  ,,Mariusz-Orion J?drysik,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,23,,,, przedstawiciel niemieckiego wymiaru sprawiedliwo?ci z Saksonii,,,,,,,,,,,,,,,,,1
,,OSZ,V,23,,,, przedstawiciel Najwy?szej Izby Kontroli.,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
54,V,OSZ,V,24, - I.Informacja z przebiegu wizytacji w dniu 17 maja br. w woj. podkarpackim.,, Andrzej Szweda-Lewandowski,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,24, - II.Ochrona przyrody w Magurskim Parku Narodowym:,,Ewa Draus,wojewoda podkarpacki ,,,,,,,,,,,,1,,,,,
,,OSZ,V,24, - III.Ochrona przeciwpowodziowa w dolinie rzeki Wis?oki wraz z informacj? o stanie przygotowa? do realizacji budowy zbiornika wodnego K?ty - Myscowa na rzece Wis?oce:,,Mariusz Gajda,doradca ministra ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,24,,,Jan Komornicki,dyrektor Bieszczadzkiego Parku Narodowego,,,,,,,,,,,1,,,,1,,
,,OSZ,V,24,,,Jan Szafra?ski,dyrektor Magurskiego Parku Narodowego,,,,,,,,,,,1,,,,1,,
,,OSZ,V,24,,,Micha? Soko?owski,dyrektor Pieni?skiego Parku Narodowego,,,,,,,,,,,1,,,,1,,
,,OSZ,V,24,,,,przedstawiciele s?u?b ochrony ?rodowiska,,,,,,,,,,,1,,,,,,1
,,OSZ,V,24,,,,przedstawiciele powiatowych i lokalnych w?adz samorz?dowych,,,,,,,,,,,,1,,,,,
55,V,OSZ,V,25,"  - informacje przygotowane przez Ministerstwo ?rodowiska oraz Ministerstwo Gospodarki pt.   Mo?liwo?ci wyeliminowania lub ograniczenia produkcji i stosowania substancji zawieraj?cych trwa?e zanieczyszczenia organiczne w aspekcie przygotowania Polski do wdro?enia postanowie? Konwencji Sztokholmskiej   , ",,Mariusz-Orion J?drysik ,podsekretarz stanu w Ministerstwie ?rodowiska ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
56,V,OSZ,V,25,  - sprawy bie??ce. ,,Andrzejem Szweda-Lewandowski,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
57,V,OSZ,V,25,,,Tomasz Wilczak,podsekretarz stanu w Ministerstwie Gospodarki,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
,,OSZ,V,25,,,,przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,25,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,25,,,,przedstawiciel Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
58,V,OSZ,V,26,  - I. Rozpatrzenie sprawozdania z wykonania bud?etu pa?stwa za okres od 1 stycznia do 31 grudnia 2005 r. (druk nr 624) wraz z analiz? NIK w zakresie:  ,,Agnieszka Bolesta,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,26,  - II. Sprawy bie??ce. ,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
,,OSZ,V,26,,,,przedstawiciel Ministerstwa Spraw Wewn?trznych i Administracji ,Ministerstwo Spraw Wewn?trznych i Administracji,MSWIA,,,,,,,1,,,,,,,,
,,OSZ,V,26,,,Kazimierz Kujda,p.o. prezesa Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
59,V,OSZ,V,26,,,Witold ?ada, wiceprezes Pa?stwowej Agencji Atomistyki ,Pa?stwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
60,V,OSZ,V,26,,,,przedstawiciel Najwy?szej Izby Kontroli.,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
61,V,OSZ,V,27,"  - rozpatrzenie sprawozdania z dzia?alno?ci NIK za 2005 r. (druk nr 668) w zakresie w?a?ciwo?ci Komisji, ",,Andrzej Szweda-Lewandowski ,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
62,V,OSZ,V,27,  - sprawy ró?ne.  ,,,przedstawiciel Najwy?szej Izby Kontroli.,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
63,V,OSZ,V,28,"  - informacja z przebiegu wizytacji w dniu 27 czerwca br. w woj. ?l?skim,  ",,Tomasz Pietrzykowski,wojewoda ?l?ski,,,,,,,,,,,,1,,,,,
,,OSZ,V,28,,,Bogdan Tomaszek,wojewoda opolski ,,,,,,,,,,,,1,,,,,
64,V,OSZ,V,28,,,Jerzy Wzi?tek,starosta raciborski ,,,,,,,,,,,,1,,,,,
65,V,OSZ,V,28,,,Jan Osuchowski,prezydent Raciborza ,,,,,,,,,,,,1,,,,,
,,OSZ,V,28,,,,przedstawiciel gminnego samorz?du terytorialnego ,,,,,,,,,,,,1,,,,,
66,V,OSZ,V,28,,,,przedstawiciel Regionalnego Zarz?du Gospodarki Wodnej w Gliwicach. ,Regionalny Zarz?d Gospodarki Wodnej w Gliwicach,RZGW,,,,,,,,,1,,,,,,
67,V,OSZ,V,29,  - informacja z przebiegu wizytacji w dniu 28 czerwca br. w Opawie (Czechy) oraz wizytacji w dniu 29 czerwca br. w Przedsi?biorstwie Komunalnym w Raciborzu;  ,,Jan Osuchowski,prezydent Raciborza ,,,,,,,,,,,,1,,,,,
,,OSZ,V,29,,,,przedstawiciel Ministerstwa ?rodowiska ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,29,,,,przedstawiciel Urz?du Marsza?kowskiego Województwa ?l?skiego,,,,,,,,,,,,1,,,,,
,,OSZ,V,29,,,,przedstawiciel ?l?skiego Urz?du Wojewódzkiego w Katowicach,,,,,,,,,,,,1,,,,,
,,OSZ,V,29,,,,przedstawiciel Polskiej Izby Gospodarki Odpadami,Polska Izba Gospodarki Odpadami,PIGO,,1,,,,,,,,,,,,,
,,OSZ,V,29,,,,przedstawiciel ?l?skiego Zwi?zku Gmin i Powiatów,?l?ski Zwi?zek Gmin i Powiatów,,1,,,,,,,,,1,,,,,
,,OSZ,V,29,,,,przedstawiciel raciborskich przedsi?biorstw.,,,,,,,1,,,,,,,,,,
68,V,OSZ,V,30,  - pierwsze czytanie poselskiego projektu ustawy o zmianie ustawy - Prawo geologiczne i górnicze (druk nr 640).  ,,Mariusz Orion-J?drysik,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
69,V,OSZ,V,31, - I. Przyj?cie planu pracy na II pó?rocze 2006 r.,,Mariusz Gajda,prezes Krajowego Zarz?du Gospodarki Wodnej ,Krajowa Rada Gospodarki Wodnej,KZGW,,,,,,,,,1,,,,,,
,,OSZ,V,31, - II. Przyj?cie dezyderatów po posiedzeniu wyjazdowym Komisji w Krempnej (woj. podkarpackie) i Raciborzu (woj. ?l?skie).,,,,,,,,,,,,,,,,,,,,
70,V,OSZ,V,32,"  - realizacja VI Programu Dzia?a? Wspólnoty na rzecz ?rodowiska - strategie tematyczne oraz wynikaj?ce z nich propozycje legislacyjne, ",,Agnieszka Bolesta,podsekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,32,  - sprawy bie??ce.  ,,,przedstawiciel Ministerstwa Budownictwa ,Ministerstwo Budownictwa ,MB,,,,,,,1,,,,,,,,
,,OSZ,V,32,,,Kazimierz Kujda,p.o. prezesa Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
71,V,OSZ,V,32,,,,przedstawiciel Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
,,OSZ,V,32,,,,przedstawiciel G?ównego Inspektoratu Ochrony ?rodowiska,G?ówny Inspektor Ochrony ?rodowiska,GIO?,,,,,,,,,1,,,,,,
