host	id	date	location	title	guestid	guestname	cabinet		
Pauline Rouch	90319337935e86b28b486b9490dc22af	19/02/2015	Brussels, Belgium	Digital Single Market	16094042309-21	LVMH Publica	Cabinet members of President Jean-Claude Juncker		
Clara Martinez Alberola	f31898fb5f5c2f37b3e928ff6dd3f5de	19/02/2015 (Cancelled)	Berlaymont	Exchange of views in the perspective to present of Health & Growth and to discuss ERA, medicine development and its access for the patient	61291462764-77	SANOFI	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	a8ff43a7160cb5b31d4aad6a566cc12f	18/02/2015	Brussels, Belgium	Trade	23527541824-60	ArcelorMittal	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	3f45d6963cfc467e997ab34bec0463b8	17/02/2015	Brussels, Belgium	Digital Single Market	98661678209-02	Channel 4	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	3f45d6963cfc467e997ab34bec0463b8	17/02/2015	Brussels, Belgium	Digital Single Market	336906714921-03	British Broadcasting Corporation	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	3f45d6963cfc467e997ab34bec0463b8	17/02/2015	Brussels, Belgium	Digital Single Market	6774178922-55	ARD Verbindungsbüro Brüssel	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	3f45d6963cfc467e997ab34bec0463b8	17/02/2015	Brussels, Belgium	Digital Single Market	3209361971-85	Zweites Deutsches Fernsehen	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	79b50318d90507240a83dbba94aaa949	17/02/2015	Brussels, Belgium	Investment Plan	190987114891-73	Investor AB	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	9a52a7cfcc92dc068c72242f81fa2933	17/02/2015	Brussels, Belgium	Energy Union	83425058760-88	Federazione Imprese Siderurgiche Italiane	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	ba8dbf51e325cb6be2ed01bfd801fda6	11/02/2015	Brussels, Belgium	Trade	431612415760-82	FELULA SA	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	05541dc02783100ccad205ea43409100	05/02/2015	Brussels, Belgium	Energy Union	8999533555-91	Robert Bosch GmbH	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	986d32acf70b9a6cd6fd10d2b4b7a10b	04/02/2015	Brussels, Belgium	Health matters	48562122691-12	EuroHealthNet	Cabinet members of President Jean-Claude Juncker		
Carlo Zadra	711a92a9d4dee3cdebaf194de9f653eb	04/02/2015	Brussels Belgium	Mr De Molli, CEO, asked to introduce the company and illustrate this year's Forum	625244214975-24	The European House - Ambrosetti	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	d6a2804fe1050a0978436ae5ccf84018	04/02/2015	Brussels, Belgium	Energy Union	41126912590-71	AREVA SA	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	a211812c97007d0ca42f58d89183e828	04/02/2015	Brussels, Belgium	Digital Single Market	40386322300-77	eBay EU liaison office	Cabinet members of President Jean-Claude Juncker		
Clara Martinez Alberola	525ef343974dca5e006f6902d8fab0ca	04/02/2015	Berlaymont	Meeting between Ms Martinez Alberola and Ana Palacio	400183910694-08	SALESAS TRES CENTRO DE ESTUDIOS	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	90379044ea4d840a5616f076dcf256a8	03/02/2015	Brussels, Belgium	Digital Single Market	54437813115-56	European Association of Internet Services Providers	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	1f71c0cdf6ff275df3bc13051b7357d3	30/01/2015	Brussels	Trade	83425058760-88	Federazione Imprese Siderurgiche Italiane	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	6eda805cf78036f825a25e898f774c07	30/01/2015	Brussels, Belgium	Capital Markets Union	86270761494-62	Aviva Plc	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	82f666dc0ffa3a37bdd0a0796667e95a	29/01/2015	Brussels, Belgium	Energy Union	656322315335-91	Association française du gaz	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	5923499cc50ab745699bc3fc1e4666b6	29/01/2015	Brussels, Belgium	New Commission's priorities	237922911665-25	TheCityUK	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	093da74cf4a1f366d9fea0ff8215176e	29/01/2015	Brussels, Belgium	Digital Single Market	42178977290-80	Cable Europe	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	dbe77e8fc4256150148de92800ad016c	29/01/2015	Brussels, Belgium	Digital Single Market	00919034091-89	BT Group plc	Cabinet members of President Jean-Claude Juncker		
Carlo Zadra	6c989d25389d9aa901d1ca625d2bc2f4	28/01/2015	BERLAYMONT - BRUSSELS	Data protection issues	501468815548-71	Coalition of European Organisations on Data Protection	Cabinet members of President Jean-Claude Juncker		
Carlo Zadra	e8c5312a47c6ec724cc2a456e20cb0ef	28/01/2015	Brussels, Belgium	Data Protection Package	522122412613-18	Paolo Grassia, Community Group of European Organisations on Data Protection	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	a0344677c28a81d8cbbe2894cc3b3c97	27/01/2015	Brussels, Belgium	Current Financial Issues	83370363079-88	Commerzbank AG	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	ea5c8df3a089f7e1d8679f9d3895a49e	27/01/2015	Brussels, Belgium	Current EU Policy Issues	524976815651-12	Centre for European Reform	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	c7cd978abf99e8dd2ef8b2ce011dc545	27/01/2015	Brussels, Belgium	Digital Single Market	422544515758-37	Sports Rights Owners Coalition	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	a845285557baba4ebb562b1ccc407fef	27/01/2015	Brussels, Belgium	Digital Single Market	256463315409-35	The Walt Disney Company Benelux BVBA	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	6c67367230af2fd8bac394b5c4c4f0ae	26/01/2015	Brussels, Belgium	Digital Single Market	099112415244-08	LeGuide.com	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	9cd50d3bd6ed1709201c1064f71cc497	26/01/2015	Brussels, Belgium	Energy Union	1414929419-24	WWF European Policy Programme	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5d4dcde872af7f49e350a2b5bc428c2e	26/01/2015	Brussels, Belgium	Energy Union	88457577025-19	Euroheat & Power	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	a24acef6aae33dd1cc94dfba76170ab8	23/01/2015	Brussels, Belgium	Concurrence	54210841652-13	Avisa Partners	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	c48c75d6faf258889f18999cf891d3eb	23/01/2015	Brussels, Belgium	Investment Plan	5265780509-97	American Chamber of Commerce to the European Union	Cabinet members of President Jean-Claude Juncker		
Sandra Kramer Martin Selmayr	d46746c2ef391ca0120bb1e54f9d8254	23/01/2015	Brussels, Belgium	Developments in global consulting	731301415740-43	Egon Zehnder International GmbH	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	4475662b4403820f29dea6a222e5b24e	23/01/2015	Brussels, Belgium	Circular Economy	92257198818-48	European Ferrous Recovery & Recycling Federation	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	4475662b4403820f29dea6a222e5b24e	23/01/2015	Brussels, Belgium	Circular Economy	74946923461-59	EUROMETREC	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	4475662b4403820f29dea6a222e5b24e	23/01/2015	Brussels, Belgium	Circular Economy	764633015511-42	European Recycling Industries' Confederation	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	697a77b134cd53b5dad23032238ac7a5	23/01/2015	Brussels, Belgium	Investment Plan	290136415264-17	Swiss Re Ltd.	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	694c7df7498088b5d08847c201390c5d	23/01/2015	Brussels, Belgium	Investment Plan	67611102869-33	Association européenne du Cautionnement Mutuel	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	8c66a6b7fdcf5891997fb62932519fb7	22/01/2015	Brussels, Belgium	New Commission Priorities	39912257528-48	Confederation of Swedish Enterprise	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	a2454592627b1d73e3cf134cb2950438	22/01/2015	Brussels, Belgium	Situation et priorités économiques	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	a9e0b9083b55dd818ffd5f56035f8a1a	21/01/2015	Brussels, Belgium	Priorités sociales	3945154610-54	European Anti Poverty Network	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	f0fffa459f7f519171f77cd8cac0edd3	21/01/2015	Brussels, Belgium	Digital Single Market	344910313351-14	European Producers Club	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	9e8227639a2b2cb2d805edbfe9d9db2f	20/01/2015	Brussels, Belgium	Digital Single Market	24627752238-32	European Competitive Telecommuniations Association	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	34d7911c0526755a7a8785c2f42cb376	20/01/2015	Brussels, Belgium	Investing in EU	95574664768-90	Verband der Automobilindustrie	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	3ed01f1acf12eb1c362fa80893b5a0b4	20/01/2015	Brussels, Belgium	Aviation in Europe	501968312339-22	Emirates Airline	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	e54242d4902fd30eac7afbe1478603b2	20/01/2015	Brussels, Belgium	Digital Single Market	381805014604-45	TeliaSonera AB	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	aec09a7c350d982dbc2222bb9fb6c606	20/01/2015	Brussels, Belgium	Investment Plan	319148015141-55	McGraw Hill Financial, Inc.	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	322a5967bc77eee3de87ebe36ab7b2ec	20/01/2015	Brussels, Belgium	The dialogue between Churches and the EU	61973396926-78	EKD-Büro Brüssel / EKD-Office Brussels	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	961769a17e75fa5c9e1b6f739724783d	19/01/2015	Brussels, Belgium	Capital Markets Union	65110063986-76	Association for Financial Markets in Europe	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	31516c5f36ac3553188de26d7e9206fe	19/01/2015	Brussels, Belgium	Digital Single Market	18574111503-28	Association of Commercial Television (Europe)	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	31516c5f36ac3553188de26d7e9206fe	19/01/2015	Brussels, Belgium	Digital Single Market	18574111503-28	Association of Commercial Television (Europe)	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	1956b29814254dfdedfe5d5e8219f23f	19/01/2015	Brussels, Belgium	Digital Single Market	36529354479-57	Groupement Européen des Sociétés d'Auteurs et Compositeurs	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	2ee8e2531a4681dbf2d923fa05e9617d	19/01/2015	Brussels, Belgium	Digital Single Market	829208810503-45	Société des Auteurs, Compositeurs et Editeurs de Musique	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	bcd11f167b560e1ee9018289f5295d14	19/01/2015	Brussels, Belgium	Priorités économiques et sociales	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	80fee1c6ce6d99e5f8223d36e0409c60	19/01/2015	Brussels, Belgium	EU Aviation and Investment in Europe	2732167674-76	Airbus Group N.V.	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	e5049244b32683222da5d5f193fad62c	16/01/2015	Brussels, Belgium	Priorities of the new Commission in the area of Financial Services	78787381113-69	BNP PARIBAS	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	d6025b6770aa2d06ece92dcfa7f0439a	16/01/2015	Brussels, Belgium	Priorities of the new Commission in the area of Financial Services	03013154889-05	Afore Consulting	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	6f10f6e0df9b2acc586b789b878c9bb2	16/01/2015	Brussels, Belgium	Capital Markets Union	701266814986-18	The Goldman Sachs Group, Inc.	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	dc391e83d5ff2ac10114b35ecd2812d1	15/01/2015	Brussels, Belgium	Climate Action and Investment in Europe	23527541824-60	ArcelorMittal	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	4cd9d654033800f1804a10296b04ef79	15/01/2015	Brussels	Meeting on principles of scientific advice	9832909575-41	Greenpeace European Unit	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	5fc92c4bf596105b56d1d0d3275d4155	09/01/2015	Brussels, Belgium	Investment Plan	123577115553-43	EuroComment	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	5dec4ed63a6ae0b8fda9787f1a6b6fec	09/01/2015	Brussels, Belgium	outside EU-investments	11064742654-42	PA Europe	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	9b23b1c125b9ee8832bd10f3554b0e6f	08/01/2015	Brussels, Belgium	Energy Union	48677174683-66	European Renewable Energies Federation asbl	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	467ecc29adf09cceef24426be43192b7	08/01/2015	Brussels, Belgium	Priorités économiques et sociales	3978240953-79	BUSINESSEUROPE	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	5128e0c8e244c24b3ac485570d60ab3b	08/01/2015	Brussels, Belgium	Economic and industrial priorities of the EU	6200524920-25	Unilever	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	0f344d42fa2310c37e3be89ec25e8f68	07/01/2015	Brussels, Belgium	Digital Single Market	26103486608-47	Bertelsmann SE & Co. KGaA	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	b9d5ce5f7c1fc0ad5b0dc46b93c23219	06/01/2015	Brussels, Belgium	Digital Single Market	95201401713-39	Motion Picture Association	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	d7ddc769e8774b9cade658f35467cbfe	06/01/2015	Brussels, Belgium	Digital Single Market	90142503473-81	Vodafone Belgium SA	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	2c416ad07ddd4016992c1794df7e690d	22/12/2014	Brussels, Belgium	Energy Union - Investment in Europe	99578067285-35	Eni S.p.A.	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	06798511314-27	European Environmental Bureau	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	1083162721-43	BirdLife Europe	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	1414929419-24	WWF European Policy Programme	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	55888811123-49	Climate Action Network Europe	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	00723343929-96	Health & Environment Alliance	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	93834493808-49	CEE Bankwatch Network	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	5c2b54fb7199a2fb068f08b531ca28c1	18/12/2014	Brussels, Belgium	Energy Union	58744833263-19	Transport and Environment (European Federation for Transport and Environment)	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	69695f3036d292daaa7cf488bdef2ffe	18/12/2014	Brussels, Belgium	The European Rail Industry in Trade Negotiations	9624415524-28	UNIFE	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	2f6e348966b82d81ee427bf62ef0c941	17/12/2014	Brussels, Belgium	Investment Plan and Capital Markets Union	041415315167-65	Managed Funds Association	Cabinet members of President Jean-Claude Juncker		
Carlo Zadra	36e170b3175ba6018c7662e193ab3f7b	15/12/2014	Brussels - Belgium	Main issues on the European agenda relevant to the Italian steel sector	83425058760-88	Federazione Imprese Siderurgiche Italiane	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	9bb4d97e70b5870959a60231fdadb7d1	15/12/2014	Brussels, Belgium	Economic priorities of the EU	25487567824-45	European Round Table of Industrialists	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	75f172cdbdf0841a5a47e8f396a9ede3	12/12/2014	Brussels, Belgium	Priorités de l'UE dans le domaine social	85083981189-35	Platform of European Social NGOs	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	c6eef6acafa848b4489803d12432fa89	12/12/2014	Brussels, Belgium	Priorités de l'UE dans le domaine social	42528706153-39	European Federation of National Organisations working with the Homeless	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	73ac1ed73b5e3793256162aa60a584c0	11/12/2014	Brussels, Belgium	Energy union	32711191770-23	European Spirits Organisation - CEPS	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	9df8139d01048eba4545bf980f81b9b1	11/12/2014	Brussels, Belgium	Investment in Europe & Energy Union	37816636575-51	European Alliance to Save Energy	Cabinet members of President Jean-Claude Juncker		
Carlo Zadra	f16758a68bbdaedbafb89d38aafcf19b	11/12/2014	Brussels - Belgium	EU policy related issues	56362448807-46	Human Rights Watch	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	2ce98c2a8a48e336990466b9209fa34c	11/12/2014	Brussels, Belgium	Investment Plan	271912611231-56	Deutsche Bank AG	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	bf43b5d1d9a4063622992336f6995982	10/12/2014	Brussels, Belgium	Digital Single Market	92442218459-37	AT&T, Inc.	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	d2a6fcf1c29c116648bbbeae42426143	10/12/2014	Brussels, Belgium	Investment Plan	34369111614-57	Société Générale	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	684b83c51c16bfa804428feb827e94d2	10/12/2014	Brussels, Belgium	Investing in Europe and Energy Union	95574664768-90	Verband der Automobilindustrie	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	db218febf1d5dbfa1a84e0864e1b0820	10/12/2014	Brussels, Belgium	TTIP	232804015283-18	Stop TTIP	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	79231534609f539e6a85032c8576dc14	09/12/2014	Brussels	education system in Denmark	060587815138-96	Jens-Peter Bonde	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	05e22fc005937ad5d21f18e63363ef73	09/12/2014	Brussels, Belgium	Investment in Europe	606518612244-15	ACI EUROPE (Airports Council International)	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	ffe4117e54af68b91f04607bce51e0de	09/12/2014	Brussels, Belgium	Energy Union / Circular economy	646544415009-14	Swedish Recycling Industries Association	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	515417b39cec60b433a6541f76501e6a	08/12/2014	Brussels	Digital Single Market	71423433087-91	European Composer and Songwriter Alliance	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	7548eb3fee1b2655f44d4ec7422de2fe	08/12/2014	Brussels	Digital Agenda	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	135189aa60439851b06c85d6fc6745ff	08/12/2014	Brussels	Meeting on Energy policy and regulation & Climate change policy	86853666704-95	Centre for European Policy Studies	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	08ae86cd029d1b0aa4faadb9dbb89a0e	05/12/2014	Brussels	Digital Economy and Society	55447279509-78	Allegro Group	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	982ee83b87cacd1206457245d4e84689	04/12/2014	Bruxelles	Marché unique numérique connecté	76704342721-41	Orange	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	a275970743baf4c62a46c0b60b52e348	04/12/2014	Brussels	Telecom issues	52431421-12	Telefonica, S.A.	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	d2859599467f93baea4983375fc38359	03/12/2014	Brussels	Energy Union	33622026795-64	Bruegel	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	1f5947a70642b81af7ba8b33dfda1daf	03/12/2014	Brussels, Belgium	Capital Markets Union	799142914971-03	Banco Santander, S.A.	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	b2397a6211cac522ebc6bfb7c1cc21b2	02/12/2014	Brussels, Belgium	Jobs, Growth, Stability and Capital Markets Union - Recovery and Resolution of CCPS	550494915045-08	London Stock Exchange Group	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	20f3a768b938ed4b901c164c25f77df5	02/12/2014	Brussels, Belgium	Jobs and Growth Agenda, Investment Plan	822479410571-77	electri-citi.mobi	Cabinet members of President Jean-Claude Juncker		
