"id","contact_country","sub_category","sub_category_title","acronym","name","main_category","main_category_title","identification_code","members_fte","status"
"ff6d7f6921174101893b1de6e25ed86f",,25,"Trade and business organisations","PROMARCA",".ASOCIACION ESPAÑOLA DE EMPRESAS DE PRODUCTOS DE MARCA",2,"II - In-house lobbyists and trade/professional associations","790916815118-34",1,"active"
"ff5ed54f7df94d07afdb9334bcdb6a76",,31,"Non-governmental organisations, platforms and networks and similar","OSC","Order of the Southern Cross",3,"III - Non-governmental organisations","121883710291-30",,"inactive"
"ff58abab021f44af9ba5a6e92ffabc71",,31,"Non-governmental organisations, platforms and networks and similar","DFLD.de","Deutscher Fluglaermdienst e.V.",3,"III - Non-governmental organisations","526799120798-12",0.5,"active"
"ff55134198d44de58538d9b8fe211683",,25,"Trade and business organisations",,"Construction Products Association",2,"II - In-house lobbyists and trade/professional associations","162225023319-95",0.25,"active"
"ff51f6448ebd4120b808be8836f1e306",,21,"Companies & groups",,"Hubert Burda Media Holding Kommanditgesellschaft",2,"II - In-house lobbyists and trade/professional associations","730036917015-61",0.5,"active"
"ff51cc686bbb4af9a9bebe5c67da2d48",,22,"Trade, business & professional associations","ANAIEF","ANAIEF – Associação Portuguesa dos Grossistas de Hortofrutícolas e dos Operadores dos Mercados Abastecedores",2,"II - In-house lobbyists and trade/professional associations","919053510050-66",,"inactive"
"ff51060b908342238e932bfae02d1a4f",,25,"Trade and business organisations","DDBB","Danish Dairy Board Brussels s.a.",2,"II - In-house lobbyists and trade/professional associations","13118423364-86",3,"active"
"ff51005149964672a35d11f13ced2bc5",,31,"Non-governmental organisations, platforms and networks and similar","ZETELAKA","AVPS ZETELAKA ES TARSAI",3,"III - Non-governmental organisations","093824317762-20",80,"active"
"ff4c4b60b2a842e79632ea53f070c5ae",,61,"Local, regional and municipal authorities (at sub-national level)","VBP","Vermast Business Partner BV",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","736767012243-29",,"inactive"
"ff4271260487424699da1875604a936b",,21,"Companies & groups",,"NRW.BANK",2,"II - In-house lobbyists and trade/professional associations","1321739923-73",5,"active"
"ff4241b4f9854322902a3459934e6924",,21,"Companies & groups",,"PosteMobile S.p.A.",2,"II - In-house lobbyists and trade/professional associations","968682320726-71",3.25,"active"
"ff4182c2d2ed4c5ebb683acd4a361455",,31,"Non-governmental organisations, platforms and networks and similar","NACA","Nacionalinė antikorupcijos asociacija",3,"III - Non-governmental organisations","636832418729-68",4.5,"inactive"
"ff4151ca97b7482ebc94a8fd90cd7115",,41,"Think tanks and research institutions","VPVI/ PPMI","VšĮ ""Viešosios politikos ir vadybos institutas""",4,"IV - Think tanks, research and academic institutions","434975917349-94",100,"inactive"
"ff26f977f5b148ed89d5b4c07b3b3749",,31,"Non-governmental organisations, platforms and networks and similar","WAY","The World and You",3,"III - Non-governmental organisations","60717189731-28",,"inactive"
"ff266a2680234600ba10c2eb8dcd5477",,41,"Think tanks and research institutions","IERI","Institut Européen des Relations Internationales",4,"IV - Think tanks, research and academic institutions","43304646434-75",,"inactive"
"ff25d9c29e364a338c92a27c3c3a0433",,13,"Self-employed consultants","JCh","Jorgo Chatzimarkakis",1,"I - Professional consultancies/law firms/self-employed consultants","865653818887-01",0.25,"active"
"ff24bd5f5b4048108263bb0bdde85587",,41,"Think tanks and research institutions","TNO","Netherlands Organisation for Applied Scientific Research TNO",4,"IV - Think tanks, research and academic institutions","40524063921-20",23,"active"
"ff248d1a685e4bb880951313dbf40762",,12,"Law firms",,"CARPENTIER",1,"I - Professional consultancies/law firms/self-employed consultants","735985511944-17",,"inactive"
"ff233cd81fb64c898dc96d457111153c",,42,"Academic institutions","EAEVE","EUROPEAN ASSOCIATION OF ESTABLISHMENTS FOR VETERINARY EDUCATION",4,"IV - Think tanks, research and academic institutions","300212020206-59",5.5,"active"
"ff1cc76fc0ab484abeb695783f941442",,27,"Other in house lobbyists",,"Federazione Italiana Pesca In Apnea",2,"II - In-house lobbyists and trade/professional associations","108741511824-07",0.25,"active"
"ff189fb548dd4ac0bc1f83fcb22626ce",,31,"Non-governmental organisations, platforms and networks and similar","EFF","Electronic Frontier Foundation",3,"III - Non-governmental organisations","802311918789-51",1,"active"
"ff1667530fc442ce815d77f0b1ac53a5",,21,"Companies & groups",,"Valero Energy Ltd",2,"II - In-house lobbyists and trade/professional associations","98019938020-21",0.5,"active"
"ff15feb7ca164362909847c52a491110",,21,"Companies & groups",,"Triodos Bank",2,"II - In-house lobbyists and trade/professional associations","543556311400-69",0.5,"active"
"ff14a0db071545c0856bea9c3625d246",,21,"Companies & groups",,"CHAdeMO Association",2,"II - In-house lobbyists and trade/professional associations","747880212094-25",0.5,"active"
"ff14502600d2468ab09a0612e0657bdc",,22,"Trade, business & professional associations","KIPA","Polish Audiovisual Producers Chamber of Commerce",2,"II - In-house lobbyists and trade/professional associations","83200488975-08",,"inactive"
"ff0d8c25bfc2405d9609efbc4178da91",,21,"Companies & groups",,"GUGLIELMO",2,"II - In-house lobbyists and trade/professional associations","679585111707-48",,"inactive"
"ff0b8e31e0234aa5ac1287427d02ba70",,11,"Professional consultancies","ACQ","Acquia",1,"I - Professional consultancies/law firms/self-employed consultants","320423115194-59",,"inactive"
"ff0a4ee5df4e48338d414c99757e5321",,41,"Think tanks and research institutions","ODIT","Osservatorio di diritto tributario",4,"IV - Think tanks, research and academic institutions","347839423413-35",225,"inactive"
"ff04ae5b30e0472eb06fd8614dc685f6",,62,"Other public or mixed entities, etc.",,"ΕΠΙΜΕΛΗΤΗΡΙΟ ΑΧΑΪΑΣ",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","411878512625-35",,"inactive"
"ff025f33aa4343aa80c2a4c41ff1dc9d",,31,"Non-governmental organisations, platforms and networks and similar","DMB","Deutscher Museumsbund e.V.",3,"III - Non-governmental organisations","504073712246-94",0.5,"active"
"ff00e8a6414b47fe8e965613720e0263",,31,"Non-governmental organisations, platforms and networks and similar",,"K - Mail Order GmbH & Co. KG",3,"III - Non-governmental organisations","380481720963-29",1,"active"
"fefd58385b3546588c67c3305f44c83a",,24,"Other similar organisations","APOGEN","Associação Portuguesa de Medicamentos Genéricos",2,"II - In-house lobbyists and trade/professional associations","89303815935-78",,"inactive"
"fef93fd1cf984eaf8198707249e516b0",,31,"Non-governmental organisations, platforms and networks and similar","D64","D64 Zentrum für digitalen Fortschritt",3,"III - Non-governmental organisations","613649919211-53",0.75,"active"
"fef7c28d8e7844458da5d55f3612d722",,21,"Companies & groups",,"Suedzucker AG",2,"II - In-house lobbyists and trade/professional associations","740592710611-76",0.5,"active"
"fef60ab38d284ebb98f1049cbf5d880c",,27,"Other in house lobbyists","REDER","Red Estatal de Desarrollo Rural - LEADER España",2,"II - In-house lobbyists and trade/professional associations","648348815547-83",3,"active"
"fef14e18b6b848b7b367cc6bed3a475e",,11,"Professional consultancies","INGAL","INGAL Ingeniería y Consulting SLP",1,"I - Professional consultancies/law firms/self-employed consultants","251063416998-05",0.75,"active"
"feef878ad9f148a4996ccdd34a595d3d",,31,"Non-governmental organisations, platforms and networks and similar","IRC","International Rescue Committee Inc",3,"III - Non-governmental organisations","66790095679-26",5,"active"
"feeba6e0c6a04929b617911a2e45297a",,31,"Non-governmental organisations, platforms and networks and similar",,"MEGAPATENT",3,"III - Non-governmental organisations","237278812567-37",,"inactive"
"fee9cff7c1b446aeac7ebdfa70dfd461",,31,"Non-governmental organisations, platforms and networks and similar","GECTARCHIMED","GECT ARCHIMED",3,"III - Non-governmental organisations","84228979578-07",,"inactive"
"fee7004cbf3b4ab48c83a6502610a113",,66,"Other public or mixed entities, created by law whose purpose is to act in the public interest","REC","The Regional Environmental Center for Central and Eastern Europe",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","58520635294-70",107,"active"
"fee64e4c9551446191df049caf5bd032",,25,"Trade and business organisations","ADÜ Nord e. V.","Assoziierte Dolmetscher und Übersetzer in Norddeutschland e.V.",2,"II - In-house lobbyists and trade/professional associations","79787993780-96",5,"active"
"feddb8aee37240f1ad393c709c18da34",,21,"Companies & groups","ITM","ITM Power",2,"II - In-house lobbyists and trade/professional associations","67871479752-52",15,"inactive"
"fed45b3f43a24fddbaa58e311bf93089",,25,"Trade and business organisations","CORTE","Confederation of Organisations in Road Transport Enforcement",2,"II - In-house lobbyists and trade/professional associations","667657822548-49",0.5,"active"
"fed31b1e228f4bf593a0beb894b2f79d",,11,"Professional consultancies","C.E.A.D.Internationa","Cabinet Etude Afrique Developpement International",1,"I - Professional consultancies/law firms/self-employed consultants","39292997984-91",,"inactive"
"fed0a9380fb042e19b196b547b42975f",,21,"Companies & groups",,"Honda Motor Europe Ltd.",2,"II - In-house lobbyists and trade/professional associations","36982018228-31",,"inactive"
"fecc6796a86341ffa6068fe36ab48aa6",,42,"Academic institutions","LINDAT","LINDAT/CLARIN",4,"IV - Think tanks, research and academic institutions","237827912873-79",0.25,"active"
"fec77f6d881b4da3bf01aefe3ae96938",,31,"Non-governmental organisations, platforms and networks and similar","UNION-IP","UNION OF EUROPEAN PRACTITIONERS IN INTELLECTUAL PROPERTY",3,"III - Non-governmental organisations","041311320851-72",3.75,"active"
"fec30f5da77642679f48edefca396885",,31,"Non-governmental organisations, platforms and networks and similar","SUISA","SUISA, Genossenschaft der Urheber und Verleger von Musik",3,"III - Non-governmental organisations","782521712689-37",0.5,"active"
"fec2005d72944b3694d56b628c77b2cc",,66,"Other public or mixed entities, created by law whose purpose is to act in the public interest","AN.KA AE","Development Agency of Karditsa AE OTA",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","573371816561-46",18.75,"active"
"fec0fec64a1e4fcb966706aa760639af",,21,"Companies & groups",,"Schibsted ASA",2,"II - In-house lobbyists and trade/professional associations","532331921544-33",0.25,"active"
"febf8fef37fa46d5815e048d40448bbb",,31,"Non-governmental organisations, platforms and networks and similar",,"For European democracy asbl",3,"III - Non-governmental organisations","81061756787-14",,"inactive"
"feb8d3b3117b431a98caa88ec821d29a",,31,"Non-governmental organisations, platforms and networks and similar","CERMI","COMITÉ ESPAÑOL DE REPRESENTANTES DE PERSONAS CON DISCAPACIDAD",3,"III - Non-governmental organisations","417937621343-17",8,"inactive"
"feb89978db3943fa98a4906e9f100a40",,25,"Trade and business organisations","FCS","Federation of Communication Services",2,"II - In-house lobbyists and trade/professional associations","908503320227-71",0.25,"active"
"fea1028af2eb454282c72af3802c96eb",,27,"Other in house lobbyists",,"ScienceWorks",2,"II - In-house lobbyists and trade/professional associations","514813715730-66",0.25,"active"
"fea0fa07abf74e5b9c53210e4833a5b8",,25,"Trade and business organisations","Euralarm","EURALARM",2,"II - In-house lobbyists and trade/professional associations","94201247949-87",0.25,"active"
"fea0d0cd91e54da39fbb4c27259ddf6c",,25,"Trade and business organisations","A.SPIRE","A.SPIRE",2,"II - In-house lobbyists and trade/professional associations","568717115528-72",1,"active"
"fe9c0ead4d69448ba262ebf3b0e92406",,25,"Trade and business organisations","PMeV","Professioneller Mobilfunk e.V.",2,"II - In-house lobbyists and trade/professional associations","963694715865-73",2,"active"
"fe9a984e1f5540aea0d707322c60a332",,21,"Companies & groups",,"ONL voor Ondernemers",2,"II - In-house lobbyists and trade/professional associations","479450815610-27",2.5,"inactive"
"fe9a2b7d2db74554aca32d17bd328c0a",,25,"Trade and business organisations","SWEDMA","Swedish Direct Marketing Association",2,"II - In-house lobbyists and trade/professional associations","515135521621-93",0.25,"active"
"fe939e9949624d6682b58475ae81e1ad",,22,"Trade, business & professional associations","ITI","Information Technology Industry Council",2,"II - In-house lobbyists and trade/professional associations","23945118835-13",,"inactive"
"fe8fa0aa39324d7db14ea71dffc4137d",,26,"Trade unions and professional associations",,"DIK",2,"II - In-house lobbyists and trade/professional associations","806842213209-53",0.25,"active"
"fe8dbb0f96ed42aab0a854d013ceec8d",,13,"Self-employed consultants","DRP","DIERREPI CONSULTING di Dom Rosario Poidimani",1,"I - Professional consultancies/law firms/self-employed consultants","60059498195-16",1.75,"active"
"fe8583ff84c44cf6ae2bb97ce8974d7e",,21,"Companies & groups","AME","Arnoldo Mondadori Editore Spa",2,"II - In-house lobbyists and trade/professional associations","307686722299-64",0.25,"active"
"fe79cc0095cc4370a6e6e553bcbf8ce4",,31,"Non-governmental organisations, platforms and networks and similar","OPE","Oservatorio Parlamentare Europeo e del Consiglio d'Europa",3,"III - Non-governmental organisations","192324710557-95",,"inactive"
"fe78154904774f3e90f8436ac2e66930",,25,"Trade and business organisations","FEDERCOOPESCA","FEDERCOOPESCA-CONFCOOPERATIVE",2,"II - In-house lobbyists and trade/professional associations","64106129497-75",0.75,"inactive"
"fe76abed3dfb4b3fb0a8a48953efb748",,51,"Organisations representing churches and religious communities","BBI","B'nai B'rith International",5,"V - Organisations representing churches and religious communities","162711719247-82",1,"active"
"fe6d4e83cc8542008ae36a7d0486bb25",,26,"Trade unions and professional associations","OCAB-CI","Organisation Centrale des producteurs exportateurs d'Ananas et Bananes de Côte d'Ivoire",2,"II - In-house lobbyists and trade/professional associations","552999119458-44",0.75,"active"
"fe65a082293b492b82d75d5870b7b682",,25,"Trade and business organisations",,"SKGS",2,"II - In-house lobbyists and trade/professional associations","65573757907-62",1.5,"active"
"fe64ee72b24d47eea141612a9c131044",,23,"Trade unions","UNICEM BRETAGNE","UNION DES INDUSTRIES DE CARRIERES ET MATERIAUX DE CONSTRUCTION DE BRETAGNE",2,"II - In-house lobbyists and trade/professional associations","255676714667-35",,"inactive"
"fe578a1567664bdfac623abf7f75e971",,66,"Other public or mixed entities, created by law whose purpose is to act in the public interest","VIP","VIP (Vereinigung Institutionelle Privatanleger) eV association of institutional shareholders association des actionnaires institutionnels",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","95668759493-33",5.25,"active"
"fe559d6cc9f54907aa5b95cd6e39f2da",,31,"Non-governmental organisations, platforms and networks and similar","ECLJ","European Centre for Law and Justice",3,"III - Non-governmental organisations","321455012081-40",,"inactive"
"fe53aaf278d148bca41da16f2f237a56",,63,"Regional structures",,"OPĆINA VIŠKOVO",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","154167914138-60",0.25,"active"
"fe530183511c41a18da1808ec4184b1d",,25,"Trade and business organisations",,"FFDAI",2,"II - In-house lobbyists and trade/professional associations","11893685306-37",0.25,"inactive"
"fe52e23fc38c4b47bfd0fa5dc46de29b",,31,"Non-governmental organisations, platforms and networks and similar","IRCM","International Regulator of Coaching and Mentoring",3,"III - Non-governmental organisations","89279118267-55",,"inactive"
"fe52499489af4d9e98c30992c06cbf8f",,21,"Companies & groups",,"Boehringer Ingelheim",2,"II - In-house lobbyists and trade/professional associations","289777818743-24",0.25,"active"
"fe51f2dcf2884b969e8bb1c7f7444285",,21,"Companies & groups",,"Froggie Production",2,"II - In-house lobbyists and trade/professional associations","899302321775-91",0.25,"active"
"fe4eaaec1b44469085a83986374e2e3b",,25,"Trade and business organisations","BBE","Bundesverband Bioenergie e.V.",2,"II - In-house lobbyists and trade/professional associations","214362121732-08",0.25,"active"
"fe4db42eb147487a8d03b2f7a421dd91",,22,"Trade, business & professional associations","ECDL","ECDL Nederland NV",2,"II - In-house lobbyists and trade/professional associations","92433922436-80",,"inactive"
"fe4b86b0d5e944ce804b793852be07e2",,42,"Academic institutions","UNIBO","Alma Mater Studiorum - Università di Bologna",4,"IV - Think tanks, research and academic institutions","096124310820-70",10,"active"
"fe4b3ccb7f5745e89c72ba4163996e1a",,31,"Non-governmental organisations, platforms and networks and similar","KRES","Stowarzyszenie Krajowy Ruch Ekologiczno - Społeczny",3,"III - Non-governmental organisations","13353679338-14",0.25,"active"
"fe3d820b03644862b3c34b2cc20ae178",,11,"Professional consultancies","AIP","Associazione Italiana Politiche Industriali",1,"I - Professional consultancies/law firms/self-employed consultants","898001322421-32",3,"active"
"fe3a089bd3674c62a7fd45303d1e0616",,25,"Trade and business organisations","DMA (UK)","The Direct Marketing Association (UK) Limited",2,"II - In-house lobbyists and trade/professional associations","91525908016-11",1.75,"active"
"fe39fb2d467849dabaff752570347609",,25,"Trade and business organisations","ACSIEL","ACSIEL Alliance Electronique",2,"II - In-house lobbyists and trade/professional associations","64498238135-76",0.5,"active"
"fe364dd52d34471b9282c761f9a3918f",,66,"Other public or mixed entities, created by law whose purpose is to act in the public interest","ADDMA SA","Athens Development and Destination Mangement Agency",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","755937223219-72",10,"active"
"fe34628b62da4a21bc8f22e5102887ff",,31,"Non-governmental organisations, platforms and networks and similar","DGI","Deutsche Gesellschaft für Information und Wissen e.V.",3,"III - Non-governmental organisations","68573206493-66",,"inactive"
"fe2e3c4f2e2b4195b8e8dab2115da58a",,31,"Non-governmental organisations, platforms and networks and similar","IFBG","International Foundation for Better Governance",3,"III - Non-governmental organisations","796650412686-37",1.5,"active"
"fe2a926ec4d540cca604d1a47d58fcad",,21,"Companies & groups",,"Starbucks Coffee Company",2,"II - In-house lobbyists and trade/professional associations","921396316480-51",0.5,"active"
"fe272bd71cdc45668ed1cfb46d8978b1",,31,"Non-governmental organisations, platforms and networks and similar","WND","World NGO Day Secretariat",3,"III - Non-governmental organisations","46266358104-75",,"inactive"
"fe258d9895074311a529fbe18b5ede23",,11,"Professional consultancies",,"Doklab",1,"I - Professional consultancies/law firms/self-employed consultants","953350821321-29",0.25,"active"
"fe238c71ff27464986e4614f355372e5",,31,"Non-governmental organisations, platforms and networks and similar","RED","Ruralité-Environnement-Développement",3,"III - Non-governmental organisations","33811981305-20",1,"active"
"fe19eb90bb084dd3b5d738fb4b140f3f",,25,"Trade and business organisations","EFFRA","European Factories of the Future Research Association",2,"II - In-house lobbyists and trade/professional associations","147908916864-59",0.75,"active"
"fe15d90af3164224a132e389eac70f11",,27,"Other in house lobbyists",,"Pictoright",2,"II - In-house lobbyists and trade/professional associations","139625421445-16",12.5,"inactive"
"fe02072879974b70bef3f6dfbf31f676",,31,"Non-governmental organisations, platforms and networks and similar","ISOC-PL","Internet Society Poland",3,"III - Non-governmental organisations","095406213906-38",1.5,"active"
"fdf12aad5be845bfbc0440f0316fadd6",,41,"Think tanks and research institutions","KIDV","Kennisinstituut Duurzaam Verpakken",4,"IV - Think tanks, research and academic institutions","088684218490-40",0.25,"active"
"fdef0ed53b1e41fcadc8d0c614636fb9",,25,"Trade and business organisations","IEEE","IEEE Inc",2,"II - In-house lobbyists and trade/professional associations","79856747620-58",1,"active"
"fdeed15ddf604dccac41c2e7d2279f1a",,21,"Companies & groups","MAC","MAC Clinical Research Limited",2,"II - In-house lobbyists and trade/professional associations","263348817052-46",78.5,"inactive"
"fdedcf8ea06d4a918e513c82031f20a2",,26,"Trade unions and professional associations","ANAPI PESCA.IT","ASSOCIAZIONE NAZIONALE ITALIANA IMPRENDITORI PESCA",2,"II - In-house lobbyists and trade/professional associations","44950466967-21",20,"inactive"
"fde87f6e30a644598332091a6d424f06",,31,"Non-governmental organisations, platforms and networks and similar","PZZL","Polski Związek Zrzeszeń Leśnych",3,"III - Non-governmental organisations","477606513320-09",1,"active"
"fde606a353064bcf998591b2989df79d",,31,"Non-governmental organisations, platforms and networks and similar","CIEDT Amalipe","AMALIPE Center for Interethnic Dialogue and Tolerance",3,"III - Non-governmental organisations","98535315829-78",51.5,"active"
"fde3fdd6ef0e43ab92b6236796afd3c0",,25,"Trade and business organisations","SusFor","Sustainable Use of Forest Resources - National Advocay Platform",2,"II - In-house lobbyists and trade/professional associations","159322923136-24",1,"active"
"fde0f8e3662a4373a33ad92cb9ea823e",,25,"Trade and business organisations",,"Svenska Trädbränsleföreningen",2,"II - In-house lobbyists and trade/professional associations","145045321670-92",0.5,"active"
"fde0e41d38ce4ebc81ff7e7577aece27",,31,"Non-governmental organisations, platforms and networks and similar","PCPF","Pakistan Christian Political Foundation",3,"III - Non-governmental organisations","832362122435-82",1,"active"
"fddd566cf27449f69468a73595c1915a",,31,"Non-governmental organisations, platforms and networks and similar","EAPN ES","Red Europea de Lucha contra la Pobreza en el Estado Español",3,"III - Non-governmental organisations","301236014831-01",25,"active"
"fdd449d04eb04da8919c3ff0995626d1",,21,"Companies & groups","DE","John Deere GmbH&Co.Kg",2,"II - In-house lobbyists and trade/professional associations","524637319601-09",2.75,"active"
"fdcfbaaaf7fd4cc9b93abbec6b25b2f0",,61,"Local, regional and municipal authorities (at sub-national level)",,"Tromsø kommune The municipality of Tromsø",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","281838510622-42",,"inactive"
"fdceb3c5214440f09836c4a3de7878ed",,22,"Trade, business & professional associations",,"PIMEC",2,"II - In-house lobbyists and trade/professional associations","431721915076-92",,"inactive"
"fdce29bdf2cd464da2cccd0a451236f1",,25,"Trade and business organisations",,"Water UK",2,"II - In-house lobbyists and trade/professional associations","870693818472-83",1.25,"inactive"
"fdc872bfec6345bd820e4841b9c03f78",,21,"Companies & groups",,"Sony ATV Music Publishing Europe Limited",2,"II - In-house lobbyists and trade/professional associations","484884319559-23",0.75,"active"
"fdc3640d1dd54120a5a2124f26486c5d",,31,"Non-governmental organisations, platforms and networks and similar","Sustainet E. A.","Sustatinet East Africa(Sustainable agricultural information initiative)",3,"III - Non-governmental organisations","550931018082-36",80,"active"
"fdbbb016594441539d08400ad26e1a17",,25,"Trade and business organisations","LSEC","LSEC - Leaders In Security",2,"II - In-house lobbyists and trade/professional associations","699134020794-72",3.75,"active"
"fdb1a3977cc844fcb8ab981927bbe6b0",,21,"Companies & groups","DS","Danish Standards Foundation / Fonden Dansk Standard",2,"II - In-house lobbyists and trade/professional associations","63213553581-15",0.25,"active"
