RecordId,MeetingId,department,minister,policy_level,portfolio,date,organisation,organisation_alias,organisation_type,purpose
16,7,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Confederation of British Industry,Confederation of British Industry,Trade association,
17,8,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Lloyds,Lloyds of London,Companies and groups,
18,9,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Nationwide,Nationwide Building Society,Companies and groups,
19,10,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Association of School and College Leaders,Association of School and College Leaders,Academic institutions,
20,11,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,HSBC,HSBC,Companies and groups,
21,12,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,GMB,GMB,Trade union / professional body,
22,12,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Unite the Union,Unite the Union,Trade union / professional body,
23,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Confederation of British Industry,Confederation of British Industry,Trade association,
24,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Institute of Directors,Institute of Directors,Companies and groups,
25,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Universities UK,Universities UK,Academic institutions,
26,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,The Royal Society,Royal Society,NGO,
27,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Student Funder,Student Funder,Companies and groups,
28,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,University of Manchester,University of Manchester,Academic institutions,
29,13,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/05/2014,Cardiff University,Cardiff University,Academic institutions,
30,14,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,The Russell Group,The Russell Group,Academic institutions,
31,15,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Celsa UK,Celsa Group,Companies and groups,
32,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,University of Sheffield,University of Sheffield,Academic institutions,
33,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Aston University,Aston University,Academic institutions,
34,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Guild Higher Education,Guild Higher Education,Academic institutions,
35,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Association of Colleges,Association of Colleges,Trade association,
36,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Universities UK,Universities UK,Academic institutions,
37,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,City & Islington College,City & Islington College,Academic institutions,
38,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Jaguar Land Rover,Jaguar Land Rover,Companies and groups,
39,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,JP Morgan,JP Morgan Chase & Co.,Companies and groups,
40,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Institute of Education,Institute of Education,Academic institutions,
41,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,University of Warwick,University of Warwick,Academic institutions,
42,16,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Education & Training Foundation,Education & Training Foundation,NGO,
43,17,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Automotive Council,Automotive Council,Municipal / state body,
44,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,ICAP,ICAP,Companies and groups,
45,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,HSBC,HSBC,Companies and groups,
46,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Jaguar Land Rover,Jaguar Land Rover,Companies and groups,
47,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Jardine Matheson Group,Jardine Matheson Group,Companies and groups,
48,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Diageo,Diageo,Companies and groups,
49,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,ARM Ltd,ARM,Companies and groups,
50,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Airbus,Airbus,Companies and groups,
51,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,BP,BP,Companies and groups,
52,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Arup,Arup,Professional consultants,
53,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Standard Life China,Standard Life,Companies and groups,
54,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Standard Chartered,Standard Chartered Bank,Companies and groups,
55,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Zaha Hadid Architects,Zaha Hadid Architects,Companies and groups,
56,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Swire,Swire Group,Companies and groups,
57,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Shell,Shell,Companies and groups,
58,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Pinewood,Pinewood Studios,Companies and groups,
59,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,McLaren Automotive Group,McLaren Automotive Group,Companies and groups,
60,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Rolls Royce,Rolls Royce,Companies and groups,
61,18,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Rio Tinto,Rio Tinto,Companies and groups,
62,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Institute of Chartered Secretaries and Administrators,Institute of Chartered Secretaries and Administrators,Trade association,
63,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Aggreko,Aggreko,Companies and groups,
64,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,British Chambers of Commerce,British Chambers of Commerce,Trade association,
65,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Confederation of Business Industry,Confederation of British Industry,Trade association,
66,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,BAE Systems,BAE Systems,Companies and groups,
67,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Siemens,Siemens,Companies and groups,
68,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Centrica,Centrica,Companies and groups,
69,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,WS Atkins,WS Atkins,Companies and groups,
70,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,SELEX Galileo,SELEX Galileo,Companies and groups,
71,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Slaughter and May,Slaughter and May,Companies and groups,
72,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Takeover Panel,Takeover Panel,Companies and groups,
73,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Association of British Insurers,Association of British Insurers,Trade association,
74,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Quoted Companies Alliance,Quoted Companies Alliance,Trade association,
75,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,University of Sussex,University of Sussex,Academic institutions,
76,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Cass Business School,Cass Business School,Academic institutions,
77,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Trades Union Congress,Trades Union Congress,Trade union / professional body,
78,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,University of Oxford,University of Oxford,Academic institutions,
79,19,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,London Business School,London Business School,Academic institutions,
80,20,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Engineering Employers Federation,Engineering Employers Federation,Companies and groups,
81,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Imtech UK,Imtech UK,Companies and groups,
82,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Midas,Midas,Companies and groups,
83,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,TrustMark,TrustMark,NGO,
84,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Stanford Industrial Concrete Flooring,Stanford Industrial Concrete Flooring,Companies and groups,
85,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Travis Perkins,Travis Perkins,Companies and groups,
86,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Gardiner & Theobald,Gardiner & Theobald,Companies and groups,
87,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,HS2 Ltd,HS2 Ltd,Companies and groups,
88,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,CIRIA,CIRIA,NGO,
89,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Barratt Developments,Barratt Developments,Companies and groups,
90,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Stepnell,Stepnell,Companies and groups,
91,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,KPMG,KPMG,Companies and groups,
92,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Engineering and Physical Sciences Research Council,Engineering and Physical Sciences Research Council,Academic institutions,
93,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Crossrail,Crossrail,Companies and groups,
94,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Kier,Kier Group,Companies and groups,
95,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,British Land,British Land,Companies and groups,
96,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Construction Industry Training Board,Construction Industry Training Board,Companies and groups,
97,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Laing OﾒRourke,Laing OﾒRourke,Companies and groups,
98,21,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Skanska UK,Skanska,Companies and groups,
99,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Carillion,Carillion,Companies and groups,
100,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Hitachi,Hitachi,Companies and groups,
101,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,HS2 Ltd,HS2 Ltd,Companies and groups,
102,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Alstrom,Alstrom,Companies and groups,
103,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Amey,Amey,Companies and groups,
104,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Atkins,Atkins,Companies and groups,
105,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Siemens,Siemens,Companies and groups,
106,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,South West Trains/RDG,South West Trains,Companies and groups,
107,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Railway Industry Association,Railway Industry Association,Trade association,
108,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Network Rail,Network Rail,Companies and groups,
109,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Perpetuum Ltd,Perpetuum Ltd,Companies and groups,
110,22,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Porterbrook,Porterbrook,Companies and groups,
111,23,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,British Chambers of Commerce,British Chambers of Commerce,Trade association,
112,24,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,General Motors Corporation,General Motors Corporation,Companies and groups,
113,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,HSBC,HSBC,Companies and groups,
114,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Lloyds,Lloyds of London,Companies and groups,
115,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Barclays,Barclays,Companies and groups,
116,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,RBS,Royal Bank of Scotland,Companies and groups,
117,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,The Co-operative Bank,The Co-operative Bank,Companies and groups,
118,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Handelsbanken,Handelsbanken,Companies and groups,
119,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,British Bankersﾒ Association,British Bankersﾒ Association,Trade association,
120,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Aldermore,Aldermore,Municipal / state body,
121,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Clydesdale,Clydesdale,Unknown,
122,25,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/06/2014,Close Brothers,Close Brothers,Companies and groups,
123,26,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Glasgow,University of Glasgow,Academic institutions,To discuss higher education
124,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Payments Council,Payments Council,NGO,To attend Cyber Crime Reduction Partnership
125,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Federation of Small Businesses,Federation of Small Businesses,Trade association,To attend Cyber Crime Reduction Partnership
126,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Nominet,Nominet,Companies and groups,To attend Cyber Crime Reduction Partnership
127,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Association of the British Pharmaceutical Industry,Association of the British Pharmaceutical Industry,Trade association,To attend Cyber Crime Reduction Partnership
128,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,British Bankers Association,British Bankersﾒ Association,Trade association,To attend Cyber Crime Reduction Partnership
129,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,British Retail Consortium,British Retail Consortium,Trade association,To attend Cyber Crime Reduction Partnership
130,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,The Internet Services Providersﾒ Association,The Internet Services Providersﾒ Association,Trade association,To attend Cyber Crime Reduction Partnership
131,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,techUK,Tech UK,Companies and groups,To attend Cyber Crime Reduction Partnership
132,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Confederation of British Industry,Confederation of British Industry,Trade association,To attend Cyber Crime Reduction Partnership
133,27,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Cardiff University,Cardiff University,Academic institutions,To attend Cyber Crime Reduction Partnership
134,28,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Ultra Global,Ultra Global,Companies and groups,To discuss innovation
135,29,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Association of the British Pharmaceutical Industry,Association of the British Pharmaceutical Industry,Trade association,To discuss life sciences
136,30,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Aston University,Aston University,Academic institutions,To discuss higher education
137,31,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Universities Superannuation Scheme,Universities Superannuation Scheme,Companies and groups,To discuss higher education
138,32,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Association of British Healthcare Industries,Association of British Healthcare Industries,Trade association,To discuss life sciences
139,33,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Trevor Baylis Brands,Trevor Baylis Brands,Companies and groups,To discuss innovation
140,34,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,HP,Hewlett-Packard,Companies and groups,To discuss technology and innovation
141,35,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,O3b Networks,O3b Networks,Companies and groups,To discuss technology and  innovation
142,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Coventry University College,Coventry University College,Academic institutions,To discuss higher education
143,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Manchester,University of Manchester,Academic institutions,To discuss higher education
144,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,City University,City University,Academic institutions,To discuss higher education
145,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Aberdeen,University of Aberdeen,Academic institutions,To discuss higher education
146,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of London,University of London,Academic institutions,To discuss higher education
147,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Surrey,University of Surrey,Academic institutions,To discuss higher education
148,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Higher Education Policy Institute,Higher Education Policy Institute,Academic institutions,To discuss higher education
149,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Law,University of Law,Academic institutions,To discuss higher education
150,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Cambridge,University of Cambridge,Academic institutions,To discuss higher education
151,36,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Newcastle College,Newcastle College,Academic institutions,To discuss higher education
