Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
12,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Special Representative of the Organization for Security and Co-operation in Europe (OSCE) for the Western Balkans   ,Public Service,Public sector,No,6,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Stefan_File.jpg/330px-Stefan_File.jpg,No,,,,"reminded Mr FÜLE  of  the  obligations  he  remained  under, concerning  the  protection  of  collective  responsibility  and  confidentiality  of the  matters  dealt  with  by  the  Commission  during  his  term  of  office  in accordance with Articles245(2) and 339 of the TFEU",,,,19/1/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.Democratic PartyF,
13,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Member of Central European Strategy Council’s International Advisory Board,Academia,Think tank,No,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Pdf,,No,,,,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,,,19/1/2016,no,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Democratic Partyf,
14,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Czech Minister for Foreign Affairs,Public Service,Elected office,No,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Pdf,,No,,,,,,,,19/1/2016,no,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Democratic Partyf,
15,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,,,19/1/2016,no,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Democratic Partyf,
16,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,President of the Advisory Board of the Initiative for European Value,Academia,Think tank,No,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Pdf,,No,,,,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,,,19/1/2016,no,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.Democratic Partyf,
17,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Member of the Program Council of the Forum2000 Foundation,NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.PDF,,No,,,,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,,,19/1/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.Democratic PartyF,
18,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Consultant for Nortal ,Private Sector,Company and Group,Yes,5,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Siim_Kallas%2C_arvamusfestival_2014_%282%29.jpg/330px-Siim_Kallas%2C_arvamusfestival_2014_%282%29.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=641536622019-91,,,"On the condition that you abide by your obligations stipulated in Articles 245 and 339 of the TFEU and in the Code of Conduct for Commissioners, namely that you behave, in all circumstances, with integrity and discretion, that you protect the collegiality and confidentiality of the matters dealt with by the Commission during your mandates and that you refrain from lobbying the Commission and/or its services, for Nortal, during eighteen months after the end of your mandate ",paid  ,,,22/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1947/response/7005/attach/2/annexes.Democratic Partyf
19,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Chair of Commission's High Level Group of Independent Experts on Monitoring Simplification for Beneficiaries of the European Structural and Investment Funds,Public Service,Public sector,No,,http://ec.europa.eu/regional_policy/en/policy/how/improving-investment/high-level-group-simplification/#1,,No,,,,No authorisation required,,,,- ,no,http://ec.europa.eu/regional_policy/en/policy/how/improving-investment/high-level-group-simplification/#1,
20,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Special Adviser to Commissioner Dombrovskis on strategic and political advice on the future of EMU and economic relations with Eastern neighbourhood,Public Service,Public sector,No,,http://ec.europa.eu/civil_service/about/who/sa_en.htm,,No,,,,No authorisation required,,,,- ,no,http://ec.europa.eu/civil_service/about/who/sa_en.htm,
21,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Visiting Professor for European Transport Policy at the Tallinn University of Technology,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,No,,,,"Provided that Mr KALLAS fulfilled his obligations under Articles 245(2) and 339 TFEU and section 1.7 of the Code of Conduct for Commissioners, and more precisely, that he acted with discretion at all times and protected collective responsibility and confidentiality in respect of matters covered by the Commission during his two terms of office. ",paid  ,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1793/response/6527/attach/2/annexes.Democratic Partyf
22,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Lecturer in International Finance in the Faculty of Economics of the University of Tartu,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2115-EN-F1-1.PDF,,No,,,,,paid  ,,,10/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2115-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1793/response/6527/attach/2/annexes.Democratic Partyf
23,Olli Rehn,Finland,ALDE,Centre Party,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Minister of Economic Affairs,Public Service,Elected office,No,4,http://valtioneuvosto.fi/en/sipila/minister-of-economic-affairs,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Olli_Rehn_by_Moritz_Kosinsky_2.jpg/330px-Olli_Rehn_by_Moritz_Kosinsky_2.jpg,No,,,,No authorisation required,paid  ,,,29/5/2015,no,,
24,Olli Rehn,Finland,ALDE,Centre Party,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Member of the Finish Parliament,Public Service,Public sector,No,,http://yle.fi/uutiset/osasto/news/rehn_steps_down_as_minister_joins_bank_of_finland/9230347,,No,,,,No authorisation required,paid  ,,,- ,no,http://yle.fi/uutiset/osasto/news/rehn_steps_down_as_minister_joins_bank_of_finland/9230347,
24,Olli Rehn,Finland,ALDE,Centre Party,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,"Director, Central Bank of Finland",Public Service,Public sector,No,,http://yle.fi/uutiset/osasto/news/rehn_steps_down_as_minister_joins_bank_of_finland/9230347,,No,,,,No authorisation required,paid  ,,,- ,no,http://yle.fi/uutiset/osasto/news/rehn_steps_down_as_minister_joins_bank_of_finland/9230347,
25,Olli Rehn,Finland,ALDE,Centre Party,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,MEP,Public Service,Elected office,No,,http://www.europarl.europa.eu/meps/en/2119/OLLI_REHN_activities.html,,No,,,,No authorisation required,paid  ,,,- ,no,http://www.europarl.europa.eu/meps/en/2119/OLLI_REHN_activities.html,
26,Nelli Feroci,Italy,EPP,???,European Commission,Commissioner for Industry and entrepreneurship,Chair of the Board of Directors of the company Simest ,Private Sector,Company and Group,No,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,,No,,,,,,,,29/10/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/7/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
27,Nelli Feroci,Italy,EPP,???,European Commission,Commissioner for Industry and entrepreneurship,President of the Istituto Affari Internazionali ,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,,No,,,,,,,,29/10/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
28,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Member of Public Policy Advisory Board of Uber,Private Sector,Company and Group,Yes,5,http://www.asktheeu.org/en/request/neelie_kroes_uber#incoming-9774,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Neelie_Kroes.jpg/375px-Neelie_Kroes.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=002278013515-26,,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid in shares,,,- ,?,http://www.asktheeu.org/en/request/neelie_kroes_uber#incoming-9774,http://corporateeurope.org/revolvingdoorwatch/cases/neelie-kroes
29,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Non-Executive Member of the Management Board of the Open Data Institute ,Academia,Think tank,Unkown,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2124-EN-F1-1.PdF,,No,,,,"On the conditions that you respect, in all circumstances, your duties arising from Articles 245(2) and 339 of the TFEU and from the Code of Conduct for Commissioners, and notably as concerns the protection of the collegiality and confidentiality of the matters dealt with by the Commission during your two mandates and of the information to which you may have had access during your mandates about undertakings, their business relations or their cost components; refrain from lobbying the Commission and its Services, during eighteen months after the end of your mandate, in favour of the Open Data Institute and/or of individual companies which are in relation with the Open Data Institute; ensure that the knowledge and experience you acquired during your Commission mandates do not confer any undue competitive advantages in favour of individual companies which benefit from the services of the Open Data Institute. ",unpaid,,,28/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2124-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1987/response/7022/attach/3/annexes.Democratic Partyf
30,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Special Adviser to Bank of America Merrill Lynch ,Private Sector,Company and Group,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2114-EN-F1-1.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=53891615036-88,,,"provided that Ms KROES fulfilled, in all circumstances, her obligations under Articles 245(2) and 339 TFEU and the Code of Conduct for Commissioners, including protection of collective responsibility and confidentiality in respect of matters covered by the Commission during her two terms of office, and refrained from lobbying the Commission or its departments on behalf of Bank of America Merrill Lynch within eighteen months of leaving office ",paid  ,,,4/2/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2114-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1783/response/6531/attach/2/annexes.Democratic Partyf
31,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Board Member Salesforce,Private Sector,Company and Group,Yes,,http://www.asktheeu.org/en/request/ex_commissioner_neelie_kroes_sal#incoming-9511,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=991195317279-06,,,No authorisation required as 18 month authorisation and lobby ban has now ended,?,,,-,no,http://www.asktheeu.org/en/request/ex_commissioner_neelie_kroes_sal#incoming-9511,http://corporateeurope.org/revolvingdoorwatch/cases/neelie-kroes
32,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Special Envoy for Start-Up Companies in the Netherlands ,Private Sector,Company and Group,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that Ms KROES (i) fulfilled, in all circumstances, her obligations under Articles 245(2) and 339 TFEU and the Code of Conduct for Commissioners, including protection of confidentiality and collective responsibility in respect of matters covered by the Commission during her two terms of office, (ii) refrained from lobbying the Commission or its departments within eighteen months of leaving office, and (iii) did not make use of any confidential information to which she had had access during her time as a Member of the Commission ",unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1692/response/6135/attach/2/annexes.Democratic Partyf
33,Michel Barnier,France ,EPP,Union for a Popular Movement,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Chief Negotiator in charge of the Preparation and Conduct of the Negotiations with the United Kingdom under Article 50 of the TEU,Public Service,Public sector,No,4,https://ec.europa.eu/info/persons/director-head-service-michel-barnier_en,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Barnier%2C_Michel-9568.jpg/330px-Barnier%2C_Michel-9568.jpg,No,,,,?,,,,?,?,?,? 
34,Michel Barnier,France ,EPP,Union for a Popular Movement,European Commission,Commissioner for Internal market,Special Adviser to Jean-Claude Juncker on European Defence and Security Policy,Public Service,Public sector,No,,http://europa.eu/rapid/press-release_IP-15-4437_en.htm,,No,,,,No authorisation required,unpaid,,,- ,no,http://europa.eu/rapid/press-release_IP-15-4437_en.htm,
35,Michel Barnier,France ,EPP,Union for a Popular Movement,European Commission,Commissioner for Internal market,Member of the State Council (France's highest administrative court),Public Service,Public sector,No,,http://www.conseil-etat.fr/Actualites/Colloques-Seminaires-Conferences/Quelle-gouvernance-pour-la-zone-euro,,No,,,,Barnier has returned to this role after his time as a commissioner,,,,- ,no,- ,- 
36,Michel Barnier,France ,EPP,Union for a Popular Movement,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://www.friendsofeurope.org/who-we-are/board-of-trustees/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,No application for authorisation made,,,,- ,no,,
37,Martine Reicherts,Luxembourg,S&D,Luxemburg Socialist Workers Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Director-General of Education and Culture at the European Commission,Public Service,Public sector,No,1,http://ec.europa.eu/civil_service/docs/directors_general/reicherts_en.pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Martine_Reicherts.jpg/399px-Martine_Reicherts.jpg,No,,,,No authorisation required,paid  ,,,1/11/2014,no,,
38,Maria Damanaki,Greece,S&D,Panhellenic Socialist Movement,European Commission,Commissioner for Maritime affairs and fisheries,Global Managing Director for Oceans at The Nature Conservancy ,NGO,NGO,Yes,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Pdf,https://upload.wikimedia.org/wikipedia/commons/8/80/Maria_Damanaki.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=116042012787-45,,,provided Ms DAMANAKI abstained from lobbying the Commission and its departments on any issues with a potential link to her former portfolio on fisheries and maritime affairs for 18 months after leaving the Commission. ,paid  ,,,13/1/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1708/response/6322/attach/3/annex.Democratic Partyf + http://www.asktheeu.org/en/request/1708/response/6181/attach/2/annexes.Democratic Partyf
39,Maria Damanaki,Greece,S&D,Panhellenic Socialist Movement,European Commission,Commissioner for Maritime affairs and fisheries,Board of the Prince Albert II of Monaco Foundation,NGO,NGO,No,,http://www.nature.org/newsfeatures/pressreleases/statement-from-maria-damanaki-global-managing-director-for-oceans-at-the-nat.xml,,No,,,,No authorisation required as 18 month authorisation and lobby ban has now ended,,,,30/6/2016,no,http://www.nature.org/newsfeatures/pressreleases/statement-from-maria-damanaki-global-managing-director-for-oceans-at-the-nat.xml,
40,Máire Geoghegan-Quinn,Ireland,ALDE,Fiana Fail ,European Commission,"Commissioner for Research, Innovation and Science",Member of the Board of the Biomedical Sciences Institute at Trinity College (TBSI),Academia,University,No,3,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/M%C3%A1ire_Geoghegan-Quinn_International_Year_of_Chemistry.jpg/330px-M%C3%A1ire_Geoghegan-Quinn_International_Year_of_Chemistry.jpg,No,,,,"Providing Ms GEOGHEGAN-QUINN, for 18 months after leaving the Commission, (i) referred proactively to the internal rules of TBSI in order to refrain from participating in any dossiers concerning relations between TBSI and the European Commission and the programmes of the European Union, (ii) refrained from lobbying the Commission and/or its departments with regard to any financing requests from TBSI to the European Union, and (iii) ensured that none of TBSI's commercial partners, either current or potential, could unduly benefit from the knowledge and experience Ms GEOGHEGAN-QUINN gained during her term of office. ",“the role is non-remunerated but...”,,,16/9/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2293/response/8158/attach/2/2015%205055.Democratic Partyf
