host	date	location	title	guestid	guestname	cabinet
Telmo Baltazar	26/01/2015	Brussels, Belgium	Energy Union	88457577025-19	Euroheat &amp; Power 	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	23/01/2015	Brussels, Belgium	Investment Plan	unregistered	Swiss Re Services Limited	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	23/01/2015	Brussels, Belgium	Concurrence	54210841652-13	Avisa Partners	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	23/01/2015	Brussels, Belgium	Investment Plan	5265780509-97	American Chamber of Commerce to the European Union	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	23/01/2015	Brussels, Belgium	Investment Plan	67611102869-33	Association européenne du Cautionnement Mutuel	Cabinet members of President Jean-Claude Juncker
Sandra Kramer Martin Selmayr	23/01/2015	Brussels, Belgium	Developments in global consulting	731301415740-43	Egon Zehnder International GmbH - Matthias Fritton	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	23/01/2015	Brussels, Belgium	Circular Economy	unregistered	EFR / EUROMETREC / EuRIC 	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	22/01/2015	Brussels, Belgium	New Commission Priorities	39912257528-48	Confederation of Swedish Enterprise 	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	22/01/2015	Brussels, Belgium	Situation et priorités économiques	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	21/01/2015	Brussels, Belgium	Priorités sociales	3945154610-54	European Anti Poverty Network	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	21/01/2015	Brussels, Belgium	Digital Single Market	344910313351-14	European Producers Club	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	20/01/2015	Brussels, Belgium	Investment Plan	319148015141-55	Standard and Poors / McGraw Hill Financial, Inc.	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	20/01/2015	Brussels, Belgium	Digital Single Market	381805014604-45	TeliaSonera AB	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	20/01/2015	Brussels, Belgium	Investing in EU	95574664768-90	Verband der Automobilindustrie	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	20/01/2015	Brussels, Belgium	Aviation in Europe	501968312339-22	Emirates	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	20/01/2015	Brussels, Belgium	The dialogue between Churches and the EU	61973396926-78	EKD - The Protestant Church in Germany	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	20/01/2015	Brussels, Belgium	Digital Single Market	24627752238-32	European Competitive Telecommuniations Association	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	19/01/2015	Brussels, Belgium	Digital Single Market	18574111503-28	Association of Commercial Television (Europe)	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	19/01/2015	Brussels, Belgium	EU Aviation and Investment in Europe	2732167674-76	Airbus Group	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	19/01/2015	Brussels, Belgium	Digital Single Market	829208810503-45	Sacem - Société des Auteurs, Compositeurs et Editeurs de Musique	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	19/01/2015	Brussels, Belgium	Priorités économiques et sociales	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	19/01/2015	Brussels, Belgium	Digital Single Market	36529354479-57	Groupement Européen des Sociétés d&#039;Auteurs et Compositeurs	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	19/01/2015	Brussels, Belgium	Capital Markets Union	65110063986-76	Association for Financial Markets in Europe	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	19/01/2015	Brussels, Belgium	Digital Single Market	18574111503-28	Association of Commercial Television (Europe)	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	16/01/2015	Brussels, Belgium	Priorities of the new Commission in the area of Financial Services	78787381113-69	BNP PARIBAS	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	16/01/2015	Brussels, Belgium	Capital Markets Union	701266814986-18	Goldman Sachs	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	16/01/2015	Brussels, Belgium	Priorities of the new Commission in the area of Financial Services	03013154889-05	Afore Consulting	Cabinet members of President Jean-Claude Juncker
Antoine Kasel	15/01/2015	Brussels	Meeting on principles of scientific advice	9832909575-41	Greenpeace European Unit	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	15/01/2015	Brussels, Belgium	Climate Action and Investment in Europe	23527541824-60	ArcelorMittal	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	09/01/2015	Brussels, Belgium	Investment Plan	123577115553-43	EuroComment	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	09/01/2015	Brussels, Belgium	outside EU-investments	11064742654-42	PA Europe	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	08/01/2015	Brussels, Belgium	Priorités économiques et sociales	3978240953-79	Businesseurope	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	08/01/2015	Brussels, Belgium	Economic and industrial priorities of the EU	6200524920-25	Unilever 	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	08/01/2015	Brussels, Belgium	Energy Union	48677174683-66	European Renewable Energies Federation asbl	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	07/01/2015	Brussels, Belgium	Digital Single Market	26103486608-47	Bertelsmann SE &amp; Co. KGaA	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	06/01/2015	Brussels, Belgium	Digital Single Market	95201401713-39	Motion Picture Association 	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	06/01/2015	Brussels, Belgium	Digital Single Market	90142503473-81	Vodafone Group	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	22/12/2014	Brussels, Belgium	Energy Union - Investment in Europe	99578067285-35	Eni S.p.A.	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	18/12/2014	Brussels, Belgium	Energy Union	unregistered	European Environmental Bureau/ BirdLife Europe/WWF European Policy Office /Climate Action Network Europe/HEAL/CEE Bankwatch/Transport &amp; Environment/	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	18/12/2014	Brussels, Belgium	The European Rail Industry in Trade Negotiations	9624415524-28	UNIFE - the European Rail Industry	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	17/12/2014	Brussels, Belgium	Investment Plan and Capital Markets Union	041415315167-65	Managed Funds Association	Cabinet members of President Jean-Claude Juncker
Carlo Zadra	15/12/2014	Brussels - Belgium	Main issues on the European agenda relevant to the Italian steel sector	83425058760-88	Federazione Imprese Siderurgiche Italiane	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	15/12/2014	Brussels, Belgium	Economic priorities of the EU	25487567824-45	European Round Table of Industrialists	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	12/12/2014	Brussels, Belgium	Priorités de l'UE dans le domaine social	85083981189-35	Social Platform	Cabinet members of President Jean-Claude Juncker
Luc Tholoniat	12/12/2014	Brussels, Belgium	Priorités de l'UE dans le domaine social	42528706153-39	European Federation of National Organisations working with the Homeless	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	11/12/2014	Brussels, Belgium	Energy union	32711191770-23	CEPS - Centre for European Policy Studies	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	11/12/2014	Brussels, Belgium	Investment in Europe & Energy Union	37816636575-51	European Alliance to Save Energy	Cabinet members of President Jean-Claude Juncker
Carlo Zadra	11/12/2014	Brussels - Belgium	EU policy related issues	56362448807-46	Veronika Szente Goldston, Human Rights Watch	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	11/12/2014	Brussels, Belgium	Investment Plan	unregistered	Deutsche Bank Research	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	10/12/2014	Brussels, Belgium	Investing in Europe and Energy Union	95574664768-90	Verband der Automobilindustrie	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	10/12/2014	Brussels, Belgium	Investment Plan	34369111614-57	Société Générale	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	10/12/2014	Brussels, Belgium	Digital Single Market	92442218459-37	AT&amp;T, Inc.	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	10/12/2014	Brussels, Belgium	TTIP	unregistered	Self-organised European Citizens’ Initiative against TTIP and CETA - https://stop-ttip.org/	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	09/12/2014	Brussels, Belgium	Energy Union / Circular economy	646544415009-14	Swedish Recycling Industries Association	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	09/12/2014	Brussels, Belgium	Investment in Europe	606518612244-15	ACI EUROPE (Airports Council International)	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	09/12/2014	Brussels	education system in Denmark	76286906136-20	Jens-Peter Bonde	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	08/12/2014	Brussels	Meeting on Energy policy and regulation & Climate change policy	86853666704-95	Centre for European Policy Studies	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	08/12/2014	Brussels	Digital Single Market	71423433087-91	European Composer and Songwriter Alliance	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	08/12/2014	Brussels	Digital Agenda	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	05/12/2014	Brussels	Digital Economy and Society	55447279509-78	Allegro Group	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	04/12/2014	Bruxelles	Marché unique numérique connecté	76704342721-41	Orange	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	04/12/2014	Brussels	Telecom issues	unregistered	Telefonica	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	03/12/2014	Brussels, Belgium	Capital Markets Union	unregistered	Santander Consumer Bank AG	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	03/12/2014	Brussels	Energy Union	33622026795-64	Bruegel	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	02/12/2014	Brussels, Belgium	Jobs, Growth, Stability and Capital Markets Union - Recovery and Resolution of CCPS	550494915045-08	London Stock Exchange	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	02/12/2014	Brussels, Belgium	Jobs and Growth Agenda, Investment Plan	822479410571-77	Citi - Citibank International plc - Belgium Branch	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	02/12/2014	Brussels, Belgium	Trade and Enterprise	22400601191-42	Deutscher Industrie und Handelskammertag e.V.	Cabinet members of President Jean-Claude Juncker
Antoine Kasel	02/12/2014	Brussels - Belgium	FTI snapshot: Towards a global corporate tax overhaul	29896393398-67	FTI Consulting	Cabinet members of President Jean-Claude Juncker
Martin Selmayr Richard Szostak	02/12/2014 (Cancelled)	Brussels, Belgium	Communication Challenges	590425913785-60	Global Counsel LLP	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	02/12/2014	Brussels	Discussion on Renewable Energy	15511499334-46	German Renewable Energy Federation	Cabinet members of President Jean-Claude Juncker
Martin Selmayr Richard Szostak	02/12/2014	Brussels, Belgium	Communication Challenges	unregistered	Global Counsel LLP - Lord Mandelson	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	02/12/2014	Brussels, Belgium	Future challenges for Europe	590425913785-60	Global Counsel LLP	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	01/12/2014	Brussels	Meeting with SACD to discuss audiovisual author rights	756044113057-73	SACD / Société des Auteurs et Compositeurs Dramatiques	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	01/12/2014	Brussels	Meeting with Meeting with Society of Audiovisual Authors SAA: discuss the future of the European audiovisual and copyright sectors	99336382936-11	Society of Audiovisual Authors	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	01/12/2014	Brussels	Meeting with Fédération des Editeurs Européens to discuss author rights and their priorities	unregistered	Federation of European Publishers	Cabinet members of President Jean-Claude Juncker
Richard Szostak	01/12/2014	Brussels, Belgium	Trade	5189667783-94	Zentralverband des Deutschen Handwerks e.V.	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	01/12/2014 (Cancelled)	Brussels, Belgium	Jobs and Growth Agenda, Investment Plan	822479410571-77	Citi - Citibank International plc - Belgium Branch	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	20/11/2014	Brussels	EWEA - exchange of views on the European Energy Union	19920706471-21	EWEA - The European Wind Energy Association asbl/vzw	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	20/11/2014	Brussels	Meeting with Rachel Whetstone, Google's Senior Vice President for Communications and Policy: role of internet and innovation to foster economic growth and job creation in Europe and Google initiatives in that field	03181945560-59	Google	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	14/11/2014	Brussels	Meeting with Mr Dimitar Dimitrov - Wikimedia Position Paper on EU Copyright	596597913132-95	Wikimedia Foundation	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	13/11/2014	Bruxelles	Meeting with representative of Telecom Italia on investment plan	36682861898-97	Telecom Italia	Cabinet members of President Jean-Claude Juncker
First Vice-President Frans Timmermans	16/03/2015	Brussels	better regulation	61370904700-45	Council of European Employers of the Metal and Engineering	
First Vice-President Frans Timmermans	03/03/2015	Brussels	Economic situation / financial services and better regulation	12112965774-95	ing group	
First Vice-President Frans Timmermans	03/03/2015	Brussels	better regulation	06798511314-27	European Environmental Bureau	
First Vice-President Frans Timmermans	03/03/2015	Brussels	better regulation	unregistered	European Consumer Organisation BEUC	
First Vice-President Frans Timmermans	03/03/2015	Brussels	better regulation	06698681039-26	European Trade Union Confederation	
First Vice-President Frans Timmermans	03/03/2015	Brussels	better regulation	18941013532-08	European Public Health Alliance	
First Vice-President Frans Timmermans	03/03/2015 (Cancelled)	Brussels	Better regulation and European affairs	12112965774-95	ING Group	
First Vice-President Frans Timmermans	02/03/2015	Brussels	European affairs	66790095679-26	International Rescue Committee	
First Vice-President Frans Timmermans	27/02/2015	Brussels	better regulation and European affairs in general	76441066192-30	KLM Royal Dutch Airlines	
First Vice-President Frans Timmermans	27/02/2015	Brussels	better regulation and European affairs in general	38392131923-05	KPN	
First Vice-President Frans Timmermans	27/02/2015	Brussels	better regulation and European affairs in general	469301912859-01	abn amro	
First Vice-President Frans Timmermans	27/02/2015	Brussels	better regulation and European affairs in general	unregistered	post nl	
First Vice-President Frans Timmermans	25/02/2015 (Cancelled)	Brussels	better regulation	unregistered	cemr	
First Vice-President Frans Timmermans	23/02/2015	Brussels	better regulation	93038071152-83	eurofer	
First Vice-President Frans Timmermans	20/02/2015	Madrid	better regulation	02963738854-41	confederacion espanola de organizaciones empresariales	
First Vice-President Frans Timmermans	16/02/2015	Paris	Better Regulation	74081206759-11	Confederation generale des petites et moyennes entreprises	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	93834493808-49	CEE Bankwatch Network	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	00723343929-96	Health and Environment Alliance	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	unregistered	Transport and Environment	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	55888811123-49	Climate Action Network Europe	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	9825553393-31	Friends of the Earth Europe	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	1414929419-24	WWF European Policy Programme	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	1083162721-43	BirdLife Europe	
First Vice-President Frans Timmermans	13/02/2015	Brussels	Meeting with Representatives of Green 10 on CWP 2015	9832909575-41	Greenpeace European Unit	
First Vice-President Frans Timmermans	09/02/2015	Brussels	Meeting with Representatives of RegWatchEurope on better regulation	unregistered	Regulatory Policy Committee	
First Vice-President Frans Timmermans	09/02/2015	Brussels	Meeting with Representatives of RegWatchEurope on better regulation	unregistered	Nationaler Normenkontrollrat	
First Vice-President Frans Timmermans	09/02/2015	Brussels	Meeting with Representatives of RegWatchEurope on better regulation	unregistered	Regelradet	
First Vice-President Frans Timmermans	09/02/2015	Brussels	Meeting with Representatives of RegWatchEurope on better regulation	unregistered	Regulatory Impact ~Assessment Board	
First Vice-President Frans Timmermans	09/02/2015	Brussels	Meeting with Representatives of RegWatchEurope on better regulation	unregistered	Actal	
First Vice-President Frans Timmermans	04/02/2015 (Cancelled)	Brussels	Mr. A. Nicolai, DSM	73926352722-07	Royal DSM	
First Vice-President Frans Timmermans	29/01/2015	Copenhagen	better regulation	5749958415-41	confederation of danish industry	
First Vice-President Frans Timmermans	23/01/2015 (Cancelled)	Davos	Meeting with Mrs Sandberg and J. Kaplan, VP Facebook	28666427835-74	Facebook	
First Vice-President Frans Timmermans	23/01/2015	Davos	better regulation	73725676990-18	Confederation of British Industry	
First Vice-President Frans Timmermans	23/01/2015	Davos	fundamental rights, security and better regulation	132236315085-89	International Federation of Red Cross and Red Crescent Societies	
First Vice-President Frans Timmermans	22/01/2015	Davos	better regulation	unregistered	ab inbev anheuser	
First Vice-President Frans Timmermans	22/01/2015	Davos	better regulation	82853397708-89	liberty global	
First Vice-President Frans Timmermans	22/01/2015	Davos	better regulation	827688315793-86	Heineken	
First Vice-President Frans Timmermans	22/01/2015	Davos	better regulation	791930410994-45	World Economic Forum	
First Vice-President Frans Timmermans	22/01/2015	Davos	sustainable development and better regulation	unregistered	World Business for Sustainable Development	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	825136311977-57	akzo nobel	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	16549972091-86	age platform	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	39966101835-69	Electricité de France	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	85083981189-35	social platform	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	85686156700-13	European Women&#039;s Lobby	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	97628146980-33	International Federation for Human Rights	
First Vice-President Frans Timmermans	15/01/2015	Sassenheim	better regulation and European affairs in general	56362448807-46	Human Rights Watch	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	16549972091-86	AGE Platform	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	54769274226-76	54769274226-76	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	85083981189-35	Social Platform	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	56362448807-46	Human Rights Watch	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	11063928073-34	Amnesty International	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	43750202163-43	European Council on Refugees and Exiles	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	11977456675-84	ILGA Europe	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	43251547769-22	European Youth Forum	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	195536914302-36	european Network on Religion and Belief	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	56362448807-46	Human Rights Watch	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	09854512780-89	European Network Against Racism	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	85686156700-13	European Women&#039;s Lobby	
First Vice-President Frans Timmermans	09/01/2015	Brussels	Roundtable with NGO's on fundamental rights	97628146980-33	International Federation for Human Rights	
First Vice-President Frans Timmermans	06/01/2015	Eindhoven	Speaker The New Horizon - breaking boundaries	770879211019-11	brainport	
First Vice-President Frans Timmermans	11/12/2014	Brussels	Consumer policy, better regulation, sustainable development, transparency, ISDS	9505781573-45	Bureau Européen des Unions de Consommateurs	
First Vice-President Frans Timmermans	04/12/2014	Brussels	Fundamental rights, better regulation, ISDS	06698681039-26	european trade union confederation	
First Vice-President Frans Timmermans	02/12/2014	Brussels	accelerate growth, reform regulation,	471036615028-82	Policy Network and Communications Ltd	
Liene Balta	05/03/2015	Berlaymont, Brussels	Exchange views on digital single market	756081713228-69	Ofcom	Cabinet members of First Vice-President Frans Timmermans
Bernd Martenczuk	04/03/2015	Berlaymont, Brussels	JHA, better regulation	455458212010-50	European Law Institute	Cabinet members of First Vice-President Frans Timmermans
Bernardus Smulders	03/03/2015	Brussels	Economic situation / financial services and better regulation	12112965774-95	ing group	Cabinet members of First Vice-President Frans Timmermans
Bernardus Smulders	25/02/2015	Brussels Belgium	European Food products	84973761187-60	Eurocommerce	Cabinet members of First Vice-President Frans Timmermans
Bernardus Smulders	25/02/2015	Brussels Belgium	European Food products	unregistered	Christian Verschueren 	Cabinet members of First Vice-President Frans Timmermans
Bernd Martenczuk	20/02/2015	Berlaymont, Brussels	TTIP, Data protection reform, rule of law on internet	unregistered	European Digital Rights (EDRi)	Cabinet members of First Vice-President Frans Timmermans
Antoine Colombani	18/02/2015	brussels	Better Regulation	5189667783-94	Zentralverband des Deutschen Handwerks	Cabinet members of First Vice-President Frans Timmermans
Bernd Martenczuk	17/02/2015	Berlaymont , Brussels	Better regulation, position of teh First Vice-President Timmermans within the Commission	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of First Vice-President Frans Timmermans
Antoine Colombani	13/02/2015	Brussels	Better Regulation (preparation of the meeting with the First Vice President)	93038071152-83	EUROFER	Cabinet members of First Vice-President Frans Timmermans
Liene Balta	06/02/2015	Berlaymont, Brussels	Commission Work Programme	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of First Vice-President Frans Timmermans
